chr	start	end	strand	NM	intron	Logan_sample_treated_S3.count	Logan_sample_untreated_S4.count	smp10_S10.count	smp11_S11.count	smp12_S12.count	smp13_S2.count	smp14_S3.count	smp15_S4.count	smp16_S5.count	smp17_S6.count	smp18_S7.count	smp19_S8.count	smp1_S1.count	smp20_S9.count	smp2_S2.count	smp3_S3.count	smp4_S4.count	smp5_S5.count	smp6_S6.count	smp7_S7.count	smp8_S8.count	smp9_S9.count
NC_000013.10	32915333	32920963	+	NM_000059	INTRON	4	0	1	1	2	2	4	2	5	5	10	2	2	8	4	2	1	2	0	5	1	4
NC_000017.10	41264619	41267742	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41202622	41203079	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32938232	32944538	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41321779	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41204975	41251369	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41252891	41445905	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32957266	32968825	+	NM_000059	INTRON	0	0	0	0	0	0	1	2	0	1	4	1	0	0	4	0	1	0	2	0	0	0
NC_000017.10	41256278	41256884	-	NR_027676	INTRON	62	8	38	75	55	34	54	28	36	84	74	92	45	50	33	46	57	22	52	41	30	46
NC_000017.10	41258550	41267742	-	NM_007297	INTRON	50	24	49	57	57	50	84	20	43	87	74	51	15	50	47	58	62	41	37	35	40	47
NC_000017.10	41243650	41249260	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
NC_000017.10	41243650	41246768	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32907524	32918694	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	3	0	2
NC_000017.10	41199720	41203079	-	NR_027676	INTRON	0	1	0	0	0	1	0	2	5	1	0	0	0	1	0	2	0	0	0	0	1	1
NC_000013.10	32973593	33128550	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41249744	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
NC_000017.10	41199727	41201136	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32890660	32893213	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
NC_000013.10	32931667	32931878	+	NM_000059	INTRON	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0
NC_000013.10	32954282	32968825	+	NM_000059	INTRON	47	15	40	51	52	85	94	46	65	117	67	58	78	84	42	53	30	40	37	36	42	46
NC_000017.10	41246877	41247862	-	NR_027676	INTRON	30	4	56	50	72	38	96	29	66	104	58	72	51	63	46	33	41	45	52	15	17	36
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	59	13	50	78	36	65	116	35	75	134	112	72	86	99	58	72	54	65	56	54	42	77
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	44	11	40	52	40	64	74	27	61	132	88	49	60	98	61	51	44	58	44	42	38	70
NC_000013.10	32937670	32943506	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41223184	41223241	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243666	41247862	-	NR_027676	INTRON	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	0	0	0	0	0	1	1	0	0	1	0	0	0	1	3	0	0	1	0	0	0	1
NC_000013.10	32905134	32911049	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950974	32953453	+	NM_000059	INTRON	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1	0	1	0	0
NC_000013.10	32889804	32890558	+	NM_000059	INTRON	12	5	27	24	23	20	25	16	29	55	40	19	27	33	31	18	17	19	35	15	25	19
NC_000013.10	32910890	32914973	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32945237	32946391	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41243049	41246760	-	NR_027676	INTRON	6	5	8	4	7	6	11	3	3	8	14	5	3	4	8	8	13	6	11	6	4	7
NC_000017.10	41201211	41203079	-	NR_027676	INTRON	77	59	51	56	70	59	126	25	62	96	76	43	61	62	44	36	66	50	65	39	45	55
NC_000017.10	41256973	41267742	-	NM_007297	INTRON	0	0	2	2	1	1	3	0	0	3	2	2	28	2	1	1	0	1	4	3	1	2
NC_000017.10	41247939	41249509	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32910401	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41228631	41229020	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276753	-	NR_027676	INTRON	9	4	3	7	10	7	11	4	7	14	7	8	11	13	2	1	4	5	11	5	4	3
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	18	0	27	27	27	25	32	30	37	52	43	40	27	36	25	23	27	30	43	23	24	25
NC_000017.10	41226538	41228504	-	NR_027676	INTRON	91	60	61	84	100	70	117	31	87	126	91	85	70	88	63	66	67	49	57	32	47	49
NC_000017.10	41243049	41243451	-	NR_027676	INTRON	75	36	46	72	63	40	112	38	69	103	90	53	70	75	37	52	67	31	61	45	35	45
NC_000017.10	41239199	41362800	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41276132	41277198	-	NR_027676	INTRON	2	0	0	1	3	0	5	0	1	2	4	0	0	2	2	5	4	7	2	4	3	0
NC_000013.10	32936679	32937506	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32906440	32915144	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	69	40	39	52	53	61	74	49	80	136	92	54	63	95	57	56	40	66	43	33	43	53
NC_000013.10	32890294	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41251791	-	NR_027676	INTRON	55	22	45	38	62	49	62	19	32	77	41	43	51	48	37	29	34	29	39	13	24	35
NC_000017.10	41276119	41277287	-	NR_027676	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41228504	-	NR_027676	INTRON	0	0	2	0	2	0	1	0	1	1	0	0	1	0	0	2	0	0	0	0	0	1
NC_000013.10	32890145	32890557	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	14	17	23	34	30	24	49	12	44	68	65	48	43	53	38	18	14	37	40	20	25	42
NC_000017.10	41234592	41251791	-	NR_027676	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41257886	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32949543	32950806	+	NM_000059	INTRON	10	2	16	8	10	19	17	9	12	13	26	26	5	10	19	18	10	16	11	12	15	27
NC_000017.10	41203185	41209068	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226930	41228504	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
NC_000017.10	41209152	41215349	-	NR_027676	INTRON	133	85	58	94	87	82	114	41	77	136	113	47	63	95	57	80	61	58	54	41	61	60
NC_000017.10	41188432	41199659	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32938053	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41234592	41242251	-	NR_027676	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41201137	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	15
NC_000013.10	32890199	32890558	+	NM_000059	INTRON	0	0	0	1	1	0	1	0	1	1	1	0	3	0	0	2	0	2	0	1	0	4
NC_000017.10	41256973	41258494	-	NM_007297	INTRON	2	1	3	3	7	4	6	1	4	6	2	5	1	8	1	4	4	1	5	1	4	5
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	37	16	33	55	31	43	78	23	36	99	98	96	43	69	36	50	28	45	29	29	32	65
NC_000017.10	41199720	41201137	-	NR_027676	INTRON	77	56	34	34	39	33	66	31	47	55	33	14	49	24	31	48	39	37	42	20	33	25
NC_000013.10	32937670	32949450	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918831	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41243049	41251791	-	NR_027676	INTRON	6	8	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	0	1	6	2	2	3	2	1	4	8	6	2	4	5	2	1	1	4	2	1	6	5
NC_000017.10	41243650	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32900749	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41276033	-	NR_027676	INTRON	58	26	47	53	81	54	81	23	53	95	72	60	64	81	56	45	54	52	54	43	30	44
NC_000013.10	32929111	32929150	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41203079	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32929425	32936659	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	0	0
NC_000013.10	32969070	32970155	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41203134	41209068	-	NR_027676	INTRON	132	89	55	81	77	81	128	40	67	112	81	75	66	97	54	49	74	53	63	45	60	59
NC_000013.10	32971181	32972298	+	NM_000059	INTRON	56	31	33	37	33	63	51	32	51	96	67	52	39	63	38	42	39	35	43	25	25	47
NC_000017.10	41243666	41249260	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243650	41243728	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41258472	-	NR_027676	INTRON	67	15	35	55	66	37	56	22	35	89	82	53	27	54	35	51	54	43	46	22	26	45
NC_000013.10	32893426	32893519	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32946600	32950806	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41226538	41242960	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32954050	32954167	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32905167	32906408	+	NM_000059	INTRON	14	0	26	34	28	38	53	25	41	78	53	52	42	67	35	27	29	45	31	23	18	52
NC_000013.10	32969070	32972298	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32958168	32968825	+	NM_000059	INTRON	3	2	4	4	1	5	7	4	1	11	3	1	2	2	2	2	3	2	5	4	2	3
NC_000013.10	32937670	32944636	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41247937	41249260	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41264503	-	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32900214	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32918790	32920963	+	NM_000059	INTRON	31	6	29	39	30	44	40	24	43	85	77	53	58	69	43	34	38	36	36	40	29	52
NC_000013.10	32930746	32931933	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32903629	32918694	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900287	33222471	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32939660	32944538	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32929425	32930564	+	NM_000059	INTRON	27	3	28	46	36	50	71	29	62	103	63	79	67	77	48	29	34	42	35	30	48	61
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	11	1	7	11	12	14	20	1	9	20	12	15	10	13	6	6	13	4	6	10	4	10
NC_000013.10	32937670	32939562	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NC_000013.10	32915333	32918697	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41196744	41197678	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32943533	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32932066	32936728	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41267796	41277287	-	NR_027676	INTRON	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	1	1
NC_000013.10	32969070	32971059	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32900287	32900378	+	NM_000059	INTRON	7	9	30	31	44	22	53	19	41	73	77	40	56	63	29	30	19	36	50	13	28	42
NC_000017.10	41196094	41197678	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41215968	41436680	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41234434	41461734	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41247960	41249260	-	NR_027676	INTRON	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41201211	41201798	-	NR_027676	INTRON	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	2	0	1	1	0	0	0
NC_000017.10	41244156	41247862	-	NR_027676	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32969070	32970127	+	NM_000059	INTRON	5	0	0	0	0	1	1	0	0	3	3	0	0	0	0	1	0	1	0	0	3	1
NC_000013.10	32963998	32977286	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
NC_000013.10	32900750	32903542	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41246760	-	NR_027676	INTRON	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32910401	+	NM_000059	INTRON	0	0	0	0	0	1	2	0	0	3	3	0	0	0	1	0	0	0	0	1	0	1
NC_000013.10	32969070	32971034	+	NM_000059	INTRON	64	28	42	54	47	73	72	33	52	102	79	85	61	78	48	41	47	49	49	41	33	59
NC_000017.10	41215390	41215890	-	NR_027676	INTRON	134	57	48	79	87	76	94	39	76	126	91	43	69	97	63	66	40	54	52	27	63	56
NC_000017.10	41219712	41222944	-	NR_027676	INTRON	142	59	47	81	80	62	146	34	61	113	105	63	58	92	62	70	64	52	79	47	70	42
NC_000013.10	32932066	32936659	+	NM_000059	INTRON	29	16	32	44	32	43	56	16	43	72	60	49	37	81	50	30	24	38	29	22	24	43
NC_000017.10	41228599	41388512	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32936679	32944636	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32970772	32977286	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41199659	-	NR_027676	INTRON	63	57	30	41	48	38	55	26	49	72	32	12	47	14	31	34	44	23	49	31	34	19
NC_000017.10	41271282	41276033	-	NR_027676	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41268453	-	NR_027676	INTRON	0	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41262597	41267742	-	NR_027676	INTRON	1	0	2	1	0	0	0	1	2	0	1	0	1	0	1	0	1	1	1	0	0	2
NC_000013.10	32890664	32891918	+	NM_000059	INTRON	0	0	0	1	1	0	0	1	0	1	0	0	1	3	2	0	0	0	0	2	0	1
NC_000013.10	32944694	32945092	+	NM_000059	INTRON	69	19	40	47	60	48	70	31	54	122	80	47	50	87	35	58	41	40	47	43	39	78
NC_000017.10	41201211	41209068	-	NR_027676	INTRON	0	0	0	0	2	1	2	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0
NC_000013.10	32954050	32954143	+	NM_000059	INTRON	35	9	49	54	39	59	77	42	60	119	83	46	67	107	43	51	32	45	43	40	30	60
NC_000013.10	32945237	32949479	+	NM_000059	INTRON	7	0	6	4	6	9	12	5	12	11	10	6	9	9	4	7	9	10	7	10	8	15
NC_000017.10	41243520	41256959	-	NR_027676	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930547	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41187665	41201137	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32921033	32928997	+	NM_000059	INTRON	46	21	58	65	53	65	87	44	79	115	88	109	61	122	75	61	39	66	61	47	54	73
NC_000017.10	41201211	41203079	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41203126	41209068	-	NR_027676	INTRON	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41267796	41273574	-	NR_027676	INTRON	1	2	0	3	2	3	3	1	0	1	2	1	0	0	0	1	0	1	0	0	1	0
NC_000017.10	41215388	41215905	-	NR_027676	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32944582	33154181	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276412	-	NR_027676	INTRON	0	1	0	1	1	0	0	0	1	7	0	0	1	1	0	0	1	0	0	0	0	0
NC_000017.10	41258550	41267746	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41188432	41197678	-	NR_027676	INTRON	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41255265	41722065	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905128	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243608	41246760	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41251791	-	NR_027676	INTRON	2	0	4	9	7	4	16	9	5	6	19	8	8	10	5	7	8	7	10	12	5	4
NC_000017.10	41196990	41197678	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41273697	41276033	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
NC_000013.10	32893462	32899216	+	NM_000059	INTRON	0	0	2	0	1	0	2	1	2	0	0	2	0	0	1	0	0	0	1	0	0	0
NC_000017.10	41234589	41242960	-	NR_027676	INTRON	1	3	3	7	8	8	6	4	7	4	5	6	5	8	1	5	5	3	4	8	3	3
NC_000013.10	32946136	32950830	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41251894	41256138	-	NM_007297	INTRON	14	9	15	20	27	18	17	7	12	22	23	21	15	21	13	17	22	15	18	16	8	17
NC_000013.10	32907524	32910039	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	1	2	2
