chr	start	end	strand	NM	intron	10_2X_S10.txt	11_S1.txt	12_S2.txt	1_2X_S1.txt	13_S3.txt	14_S4.txt	15_S5.txt	16_S6.txt	17_S7.txt	18_S8.txt	19_S9.txt	20_S10.txt	2_2X_S2.txt	3_2X_S3.txt	4_2X_S4.txt	5_2X_S5.txt	6_2X_S6.txt	7_2X_S7.txt	8_2X_S8.txt	9_2X_S9.txt
NC_000017.10	41267796	41322142	-	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32964033	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32900029	32900237	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32949543	32953453	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	4	5	7	19	4	3	3	3	9	57	34	19	26	6	13	7	11	6	10	16
NC_000013.10	32929149	32950830	-	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41273574	-	NM_007294	INTRON	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32973224	33260707	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41276119	41277293	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32945254	32949098	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
NC_000017.10	41226538	41234420	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32903374	32903579	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41273693	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32929115	33042171	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276412	-	NM_007294	INTRON	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32934698	32943157	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32950928	32953886	+	NM_000059	INTRON	33	20	11	57	32	21	47	43	56	51	22	105	45	31	45	18	32	29	24	21
NC_000013.10	32903629	32905128	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41241927	41326518	+	NM_007294	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41251791	-	NM_007294	INTRON	2	0	0	6	2	0	0	0	0	2	0	2	0	2	1	0	3	2	0	0
NC_000017.10	41273697	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950922	32953849	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32918790	32928997	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32945237	32949301	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32899216	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41234589	41242960	-	NM_007294	INTRON	0	0	0	2	0	2	0	1	0	2	2	1	0	3	2	1	2	0	8	0
NC_000013.10	32907524	32910039	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41251894	41256138	-	NM_007294	INTRON	1	2	2	4	0	3	0	0	2	3	3	12	2	3	4	12	4	0	13	1
NC_000013.10	32944694	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32970253	32971034	+	NM_000059	INTRON	0	2	0	2	0	2	0	0	0	3	0	0	3	2	1	2	0	4	0	0
NC_000013.10	32915333	32920963	+	NM_000059	INTRON	3	0	4	3	1	6	2	2	10	6	4	5	4	3	8	2	3	1	4	0
NC_000017.10	41267796	41277293	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
NC_000013.10	32937670	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32971181	32984993	+	NM_000059	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41219471	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0
NC_000017.10	41276132	41277287	-	NR_027676	INTRON	0	0	0	0	2	0	0	0	2	0	0	2	0	0	2	0	4	0	0	1
NC_000017.10	41223255	41226358	-	NM_007294	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32931686	32931878	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32915333	32928997	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32900237	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256278	41256884	-	NM_007294	INTRON	5	3	2	9	5	9	9	10	3	5	13	21	19	18	11	12	7	9	31	9
NC_000017.10	41215390	41219624	-	NM_007294	INTRON	0	0	0	0	0	2	2	0	2	0	0	2	0	2	11	1	0	0	2	0
NC_000013.10	32945237	32950806	+	NM_000059	INTRON	1	2	1	11	9	7	13	9	26	14	11	31	20	19	18	2	10	2	11	7
NC_000013.10	32954282	32971034	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
NC_000013.10	32899321	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NC_000017.10	41231416	41234420	-	NM_007300	INTRON	0	0	0	2	0	1	0	1	0	0	0	3	1	2	4	3	4	0	8	3
NC_000017.10	41258550	41267742	-	NM_007294	INTRON	4	6	2	2	3	10	3	10	2	14	12	12	11	17	10	7	4	3	27	5
NC_000017.10	41201917	41203079	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41251897	41256138	-	NM_007294	INTRON	7	1	1	7	0	4	5	8	8	2	8	7	12	2	9	11	8	2	18	4
NC_000017.10	41201211	41201816	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41199720	41203079	-	NM_007294	INTRON	0	0	0	0	0	0	3	0	0	0	0	4	0	1	0	0	2	0	2	0
NC_000013.10	32929425	32930224	+	NM_000059	INTRON	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41276119	41276753	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0
NC_000017.10	41199728	41201136	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
NC_000017.10	41234004	41234420	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215390	41222944	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900029	32900378	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32903374	32903583	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	0	2	0	2	0	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0
NC_000013.10	32945237	32949287	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32931667	32931878	+	NM_000059	INTRON	0	1	0	2	0	0	0	0	2	2	0	1	5	1	4	0	0	0	1	0
NC_000013.10	32949347	32950806	+	NM_000059	INTRON	1	0	0	2	0	0	0	1	2	3	2	0	1	2	0	1	0	0	0	0
NC_000013.10	32954282	32968825	+	NM_000059	INTRON	92	22	39	131	70	25	72	83	133	123	73	206	116	100	104	54	64	84	65	108
NC_000013.10	32954264	32961034	-	NM_000059	INTRON	0	0	0	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0
NC_000017.10	41246877	41247862	-	NM_007294	INTRON	1	0	3	9	4	5	8	4	6	7	10	22	15	2	12	12	10	9	10	3
NC_000017.10	41209152	41219624	-	NM_007294	INTRON	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	31	6	27	56	16	14	29	41	60	69	44	90	94	32	58	29	24	19	31	27
NC_000013.10	32929425	32930647	+	NM_000059	INTRON	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	37	16	15	75	39	13	24	28	32	66	48	76	107	41	53	36	42	33	18	25
NC_000017.10	41215968	41217782	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	2	1	0	1	0	0	0	0	1	3	0	3	1	1	5	0	2	0	2	5
NC_000013.10	32950928	32953937	+	NM_000059	INTRON	5	0	2	4	0	5	0	1	3	4	2	4	4	3	5	2	8	6	0	2
NC_000017.10	41209152	41210240	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32930746	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32944694	32946391	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41247939	41251791	-	NM_007294	INTRON	0	0	0	4	0	1	0	0	0	0	2	3	1	0	1	0	0	1	2	0
NC_000013.10	32950928	32953940	+	NM_000059	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	1
NC_000013.10	32953927	32954058	-	NM_000059	INTRON	0	0	1	2	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	2
NC_000013.10	32899321	32900237	+	NM_000059	INTRON	9	6	3	15	8	4	2	2	12	79	47	16	19	16	10	5	3	7	3	4
NC_000013.10	32889804	32890558	+	NM_000059	INTRON	4	11	6	20	5	1	5	6	15	48	30	12	16	21	22	10	7	3	9	7
NC_000013.10	32915333	32918694	+	NM_000059	INTRON	28	13	15	25	14	3	17	23	58	41	28	60	54	28	52	20	18	24	7	21
NC_000013.10	32931966	32936659	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32907524	32910401	+	NM_000059	INTRON	2	7	2	10	2	2	0	5	8	20	19	12	7	5	4	3	8	2	4	7
NC_000017.10	41215968	41228504	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32945237	32946391	+	NM_000059	INTRON	12	7	8	4	16	8	5	12	17	28	26	18	15	18	8	4	2	20	4	9
NC_000017.10	41243049	41246760	-	NM_007294	INTRON	9	0	2	2	4	2	6	7	4	4	4	8	8	4	10	6	3	1	1	2
NC_000017.10	41201211	41203079	-	NM_007294	INTRON	10	10	4	14	0	8	9	19	13	8	8	28	20	6	29	12	12	7	25	18
NC_000017.10	41267796	41271137	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
NC_000017.10	41256973	41267742	-	NM_007294	INTRON	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32929425	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32945254	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32899321	32900378	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0
NC_000013.10	32936679	32944603	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41275714	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41228631	41229020	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
NC_000017.10	41197759	41201137	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32899212	+	NM_000059	INTRON	9	15	6	10	7	6	3	4	12	38	29	6	18	13	5	8	5	2	0	7
NC_000017.10	41215968	41222944	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276753	-	NM_007294	INTRON	5	0	2	8	4	2	3	0	5	0	7	7	8	6	7	8	0	15	8	2
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	12	15	4	13	6	1	3	3	9	45	24	19	32	12	13	15	4	7	9	8
NC_000017.10	41243049	41243451	-	NM_007294	INTRON	14	8	3	21	3	6	8	6	22	9	14	21	15	24	20	5	8	4	18	10
NC_000017.10	41226538	41228504	-	NM_007294	INTRON	11	0	13	16	9	11	8	11	20	14	16	32	31	28	32	13	33	13	41	11
NC_000013.10	32969070	32970129	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41276132	41277198	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NC_000013.10	32926347	32928997	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32946461	32971987	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32954282	32958029	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	24	3	13	31	15	11	13	20	21	20	31	19	29	14	8	13	16	19	16	17
NC_000017.10	41249306	41251791	-	NM_007294	INTRON	9	0	4	4	0	6	5	6	7	5	4	14	14	4	6	22	13	1	19	2
NC_000013.10	32890294	32890558	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32954282	32967164	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	15	7	2	12	6	2	4	2	25	74	30	15	23	5	9	4	8	8	4	6
NC_000017.10	41234592	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32949543	32950806	+	NM_000059	INTRON	70	21	36	110	56	42	69	83	88	129	43	193	94	57	90	36	66	65	30	82
NC_000013.10	32946982	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41226930	41228504	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
NC_000017.10	41209152	41215349	-	NM_007294	INTRON	15	3	5	11	7	5	21	13	15	6	17	26	32	21	23	19	25	10	42	10
NC_000013.10	32937670	32938053	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215390	41228504	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41258550	41276033	-	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41219624	-	NM_007294	INTRON	10	4	12	9	6	9	5	10	20	13	23	32	29	24	13	29	36	12	36	6
NC_000013.10	32946136	32954058	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32899321	32899860	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32938781	+	NM_000059	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41201137	-	NM_007294	INTRON	1	0	2	0	0	0	3	0	0	1	0	0	0	2	0	0	0	0	0	3
NC_000013.10	32890199	32890558	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41258494	-	NM_007294	INTRON	1	2	0	0	2	4	0	4	0	1	6	4	2	11	1	2	0	4	12	2
NC_000013.10	32971181	32972298	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	14	5	10	11	21	6	4	18	10	4	19	12	19	9	15	13	12	15	8	12
NC_000013.10	32932066	32937315	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0
NC_000013.10	32967271	32968825	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32931966	32936728	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
NC_000017.10	41199720	41201137	-	NM_007294	INTRON	16	2	4	16	9	8	11	17	4	6	11	16	7	11	29	8	12	5	21	8
NC_000017.10	41243049	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0
NC_000017.10	41203906	41383974	-	NM_007294	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	4	2	0	8	0	0	2	1	2	6	0	0	1	0	0	0	0	0	0	2
NC_000013.10	32945237	32953886	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000017.10	41267796	41276033	-	NM_007294	INTRON	6	3	3	10	10	8	0	5	3	6	9	18	17	18	11	11	6	10	16	7
NC_000013.10	32954282	32972298	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41203079	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32918790	32919284	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41197727	41199137	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32936659	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32953652	32953937	+	NM_000059	INTRON	4	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0
NC_000017.10	41219712	41222944	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32969070	32970155	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949475	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949259	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41254649	41356232	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41203134	41209068	-	NM_007294	INTRON	18	9	5	18	2	10	12	14	21	6	9	49	28	16	40	15	19	10	49	17
NC_000017.10	41217933	41219624	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32889282	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972298	+	NM_000059	INTRON	87	17	46	138	60	33	67	96	109	71	68	203	159	77	108	48	72	87	59	93
NC_000013.10	32949543	32950807	+	NM_000059	INTRON	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41247939	41249260	-	NM_007294	INTRON	8	0	5	9	2	3	8	3	4	3	7	9	13	2	7	16	15	4	22	0
NC_000013.10	32953621	32953937	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32910039	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41258472	-	NM_007294	INTRON	2	3	1	3	2	6	6	7	6	10	10	9	10	6	6	5	5	3	15	4
NC_000013.10	32930322	32930564	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32954282	32968825	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32946600	32950806	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
NC_000013.10	32954050	32954167	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
NC_000013.10	32905167	32906408	+	NM_000059	INTRON	5	6	1	12	2	1	6	2	14	51	39	10	17	5	13	6	3	7	5	11
NC_000013.10	32929425	32950806	+	NM_000059	INTRON	0	0	0	1	0	0	2	0	1	0	2	1	2	0	0	3	0	0	0	0
NC_000013.10	32969070	32972298	+	NM_000059	INTRON	2	0	0	4	1	0	0	0	4	2	0	2	0	0	0	0	0	0	2	0
NC_000013.10	32958168	32968825	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
NC_000017.10	41223255	41226347	-	NM_007294	INTRON	17	6	22	23	17	8	34	15	24	24	22	50	31	29	39	39	29	12	58	21
NC_000017.10	41243049	41247862	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0
NC_000017.10	41197819	41198188	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228631	41231350	-	NM_007294	INTRON	0	0	1	0	0	0	0	2	0	2	0	1	3	3	4	3	0	0	3	1
NC_000017.10	41234592	41242960	-	NM_007294	INTRON	17	6	6	20	6	7	13	3	21	16	17	27	26	21	27	21	12	10	42	15
NC_000017.10	41202207	41209068	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32930746	32931922	+	NM_000059	INTRON	1	0	0	1	0	0	0	0	3	1	0	5	5	0	0	0	0	0	2	0
NC_000013.10	32900419	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32945237	32949218	+	NM_000059	INTRON	4	0	4	5	5	2	3	0	3	10	4	4	2	4	12	2	2	1	1	8
NC_000013.10	32918790	32920963	+	NM_000059	INTRON	29	24	9	54	28	14	42	48	91	84	51	83	109	54	64	34	18	25	16	31
NC_000017.10	41249306	41249509	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
