chr	start	end	strand	NM	intron	Qbirk-00001-Tumor-RNA_A00559_0074.count	Qbirk-00002-Tumor-RNA_A00559_0074.count	Qbirk-00003-Tumor-RNA_A00559_0074.count	Qbirk-00004-Tumor-RNA_A00559_0074.count	Qbirk-00005-Tumor-RNA_A00559_0074.count	Qbirk00006-00006-Tumor-RNA_A00559_0074.count	Qbirk00007-00007-Tumor-RNA_A00559_0074.count	Qbirk00008-00008-Tumor-RNA_A00559_0074.count	Qbirk00009-00009-Tumor-RNA_A00559_0074.count	Qbirk00010-00010-Tumor-RNA_A00559_0074.count	Qbirk00011-00011-Tumor-RNA_A00559_0075.count	Qbirk00012-00012-Tumor-RNA_A00559_0075.count	Qbirk00013-00013-Tumor-RNA_A00559_0075.count	Qbirk00014-00014-Tumor-RNA_A00559_0075.count	Qbirk00015-00015-Tumor-RNA_A00559_0075.count	Qbirk00016-00016-Tumor-RNA_A00559_0075.count	Qbirk00017-00017-Tumor-RNA_A00559_0075.count	Qbirk00018-00018-Tumor-RNA_A00559_0075.count	Qbirk00019-00019-Tumor-RNA_A00559_0075.count
NC_000017.10	41215968	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41243650	41247862	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
NC_000013.10	32971181	32972386	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32920963	+	NM_000059	INTRON	6	6	0	5	7	4	3	6	3	0	4	16	8	2	11	12	11	12	14
NC_000017.10	41215968	41219471	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0
NC_000017.10	41202622	41203079	-	NR_027676	INTRON	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
NC_000013.10	32938232	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32957266	32968825	+	NM_000059	INTRON	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	1	3	0	2
NC_000017.10	41256278	41256884	-	NR_027676	INTRON	40	91	53	66	50	56	42	54	55	45	85	74	89	72	111	75	142	100	66
NC_000017.10	41251894	41256893	-	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41240345	41435438	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41267742	-	NM_007297	INTRON	57	149	71	68	60	82	52	76	36	61	102	107	136	72	127	84	116	53	75
NC_000017.10	41243650	41249260	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0
NC_000013.10	32929425	32930224	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32907524	32918694	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41199720	41203079	-	NR_027676	INTRON	1	0	1	0	0	1	1	1	1	2	0	3	0	0	0	2	2	4	0
NC_000017.10	41234004	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41232343	41394676	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41223195	41223220	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32899237	32899286	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41249744	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41322142	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41199727	41201136	-	NR_027676	INTRON	0	0	0	0	0	0	0	2	0	0	2	3	0	0	1	0	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32931667	32931878	+	NM_000059	INTRON	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41250300	41251791	-	NR_027676	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277198	-	NR_027676	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41220152	41387746	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32954282	32968825	+	NM_000059	INTRON	41	119	49	53	45	86	47	66	35	42	69	56	66	45	68	50	105	109	66
NC_000017.10	41246877	41247862	-	NR_027676	INTRON	58	96	42	48	48	56	36	47	55	59	88	103	59	131	50	39	86	124	98
NC_000017.10	41256903	41258472	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	22	89	48	39	23	59	26	36	33	40	52	66	87	34	41	54	68	85	43
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	45	69	36	33	35	79	42	31	32	32	48	76	55	52	72	36	108	88	58
NC_000017.10	41243666	41247862	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32950974	32953453	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0
NC_000013.10	32889804	32890558	+	NM_000059	INTRON	69	108	76	47	96	83	70	49	59	48	92	95	115	84	93	43	152	110	63
NC_000013.10	32937670	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
NC_000013.10	32945237	32946391	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
NC_000017.10	41243049	41246760	-	NR_027676	INTRON	2	1	6	3	4	4	3	8	1	2	6	6	10	2	4	4	11	13	3
NC_000017.10	41241927	41378291	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41201211	41203079	-	NR_027676	INTRON	53	137	62	87	46	86	52	80	53	97	79	80	103	93	141	70	138	115	74
NC_000013.10	32953611	32953916	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41318996	-	NR_027676	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41267742	-	NM_007297	INTRON	0	3	0	0	0	2	1	2	5	0	1	0	1	0	0	3	6	37	3
NC_000013.10	32899321	32900238	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276753	-	NR_027676	INTRON	10	19	13	16	20	5	5	4	4	10	19	19	14	27	30	6	14	23	3
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	36	107	54	46	62	62	50	45	38	45	87	94	98	48	88	42	146	142	74
NC_000017.10	41226538	41228504	-	NR_027676	INTRON	45	121	38	65	41	62	47	93	57	48	68	87	77	73	101	70	131	114	88
NC_000017.10	41243049	41243451	-	NR_027676	INTRON	37	108	47	51	38	72	46	68	47	38	72	50	78	75	61	49	116	107	57
NC_000017.10	41256973	41277198	-	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41276132	41277198	-	NR_027676	INTRON	0	10	1	2	1	8	3	1	4	0	0	3	2	4	1	5	1	7	12
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	47	112	67	55	62	70	46	54	42	39	63	91	79	69	76	51	137	131	69
NC_000013.10	32890294	32890558	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41249306	41251791	-	NR_027676	INTRON	54	76	39	55	47	63	47	49	53	54	73	86	87	120	110	58	120	106	75
NC_000013.10	32900286	32900380	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41276119	41277287	-	NR_027676	INTRON	0	0	0	0	2	0	0	0	0	0	1	4	0	0	0	0	1	0	0
NC_000017.10	41215926	41219624	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41201211	41219624	-	NR_027676	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41228504	-	NR_027676	INTRON	1	0	0	0	0	1	0	1	0	1	1	0	0	1	2	0	2	0	0
NC_000013.10	32890145	32890557	+	NM_000059	INTRON	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	55	143	69	52	86	115	63	69	64	75	84	81	112	68	92	62	159	135	82
NC_000017.10	41256973	41257886	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32949543	32950806	+	NM_000059	INTRON	14	17	18	22	10	29	11	12	12	6	21	52	37	7	17	2	23	22	11
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41215349	-	NR_027676	INTRON	70	154	49	73	58	75	55	88	52	89	96	100	110	133	119	72	152	109	61
NC_000013.10	32937670	32938053	+	NM_000059	INTRON	0	0	0	4	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0
NC_000017.10	41234592	41242251	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
NC_000017.10	41242370	41242960	-	NR_027676	INTRON	0	0	0	0	2	0	0	1	0	1	0	0	0	2	1	0	0	0	2
NC_000013.10	32918790	32920963	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NC_000017.10	41223186	41223234	-	NR_027676	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41201137	-	NR_027676	INTRON	0	1	0	0	1	0	19	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890199	32890558	+	NM_000059	INTRON	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0
NC_000017.10	41256973	41258494	-	NM_007297	INTRON	11	8	5	7	3	7	6	8	2	3	7	5	6	8	6	3	5	6	6
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	18	72	23	29	33	45	21	26	25	18	41	38	33	39	60	30	76	61	31
NC_000017.10	41199720	41201137	-	NR_027676	INTRON	41	122	41	71	41	72	16	54	45	55	54	62	80	85	135	62	111	106	62
NC_000017.10	41243049	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	1
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	2	4	4	0	6	5	1	3	1	2	1	7	1	0	0	0	6	7	3
NC_000017.10	41267796	41276033	-	NR_027676	INTRON	59	123	66	62	62	81	41	62	31	55	103	104	124	92	125	82	114	113	82
NC_000017.10	41197819	41203079	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NC_000013.10	32929113	32972336	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41262601	41267742	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41203134	41209068	-	NR_027676	INTRON	60	163	79	84	51	96	64	104	59	119	110	112	120	125	159	80	169	107	68
NC_000013.10	32971181	32972298	+	NM_000059	INTRON	22	54	32	31	50	48	24	36	34	48	39	66	61	54	54	46	90	84	28
NC_000017.10	41188045	41309635	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41256973	41258472	-	NR_027676	INTRON	34	110	51	56	54	56	48	47	32	59	68	84	80	63	85	49	111	37	66
NC_000017.10	41266650	41267742	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41242960	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41273574	-	NR_027676	INTRON	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905167	32906408	+	NM_000059	INTRON	42	120	38	41	63	62	59	50	40	45	84	79	118	62	77	49	145	124	79
NC_000017.10	41219658	41223109	-	NR_027676	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32958168	32968825	+	NM_000059	INTRON	0	0	0	0	1	3	2	0	0	2	0	1	6	1	1	0	0	6	0
NC_000013.10	32937670	32944636	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32918790	32920963	+	NM_000059	INTRON	47	108	75	52	54	99	61	54	56	46	79	99	122	53	80	58	176	137	73
NC_000013.10	32939660	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41256455	41256884	-	NR_027676	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32900287	33222471	+	NM_000059	INTRON	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930564	+	NM_000059	INTRON	71	118	61	63	64	87	40	59	58	25	52	88	93	60	78	44	128	131	85
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	18	30	12	17	9	19	13	12	10	22	26	9	30	20	37	23	31	23	9
NC_000013.10	32972311	32972688	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918697	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41215968	41222879	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41228637	41234420	-	NM_007300	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32890528	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
NC_000017.10	41267796	41277287	-	NR_027676	INTRON	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0
NC_000013.10	32900287	32900378	+	NM_000059	INTRON	63	157	58	67	74	115	57	32	53	72	109	91	124	76	106	64	176	135	93
NC_000017.10	41251894	41256138	+	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41244156	41246530	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32912042	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41247960	41249260	-	NR_027676	INTRON	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	0
NC_000017.10	41201211	41201798	-	NR_027676	INTRON	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	3	0
NC_000017.10	41244156	41247862	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
NC_000017.10	41243049	41246768	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32969070	32970127	+	NM_000059	INTRON	0	5	0	0	3	3	0	0	2	0	0	1	1	1	0	0	0	1	6
NC_000017.10	41270664	41550434	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32903629	32910401	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	4	0	0	0
NC_000017.10	41243650	41246760	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32969070	32971034	+	NM_000059	INTRON	32	98	24	34	45	79	51	54	45	22	54	54	78	58	70	32	84	108	47
NC_000017.10	41215390	41215890	-	NR_027676	INTRON	52	130	38	52	46	65	54	46	61	72	88	87	103	114	110	73	142	94	69
NC_000017.10	41219712	41222944	-	NR_027676	INTRON	57	105	50	64	46	32	35	54	60	35	63	81	86	77	96	75	117	116	73
NC_000013.10	32932066	32936659	+	NM_000059	INTRON	31	89	48	54	39	49	34	39	40	24	46	46	57	37	49	29	69	76	63
NC_000017.10	41197819	41199659	-	NR_027676	INTRON	40	163	53	83	45	59	22	87	53	60	60	86	110	109	196	65	141	125	84
NC_000017.10	41271282	41276033	-	NR_027676	INTRON	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41267796	41268453	-	NR_027676	INTRON	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41262597	41267742	-	NR_027676	INTRON	0	3	4	0	1	0	2	0	0	0	1	3	2	1	0	7	2	0	0
NC_000013.10	32891088	32899940	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32944694	32945092	+	NM_000059	INTRON	43	99	41	47	48	64	36	30	35	20	75	78	107	36	53	11	79	105	40
NC_000013.10	32929425	32931878	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41201211	41209068	-	NR_027676	INTRON	0	1	0	1	0	1	0	4	0	2	0	0	2	1	2	0	1	5	0
NC_000013.10	32954050	32954143	+	NM_000059	INTRON	54	111	54	35	37	86	30	33	29	20	55	87	74	50	81	46	105	84	46
NC_000017.10	41276119	41276412	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949479	+	NM_000059	INTRON	17	14	8	18	7	19	16	11	5	10	13	32	21	5	18	2	19	15	9
NC_000017.10	41187665	41201137	-	NR_027676	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930547	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32921033	32928997	+	NM_000059	INTRON	63	137	66	72	75	114	66	57	58	66	64	99	134	58	98	59	160	165	109
NC_000017.10	41196783	41209092	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32900029	32900237	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
NC_000017.10	41267796	41273574	-	NR_027676	INTRON	0	5	2	0	0	1	0	3	2	0	4	0	7	0	1	3	5	5	4
NC_000017.10	41215388	41215905	-	NR_027676	INTRON	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276412	-	NR_027676	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258128	41258494	-	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41188432	41197678	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0
NC_000013.10	32899309	32900248	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41246877	41251791	-	NR_027676	INTRON	9	57	13	14	8	14	2	7	16	11	6	11	22	10	8	14	17	11	9
NC_000017.10	41273697	41276033	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32900413	32900636	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41242973	41244071	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32899216	+	NM_000059	INTRON	0	2	1	0	0	0	0	0	0	1	0	2	4	0	3	0	2	4	0
NC_000017.10	41234589	41242960	-	NR_027676	INTRON	2	8	3	6	4	6	1	4	6	2	9	4	13	5	18	7	7	8	5
NC_000017.10	41251894	41256138	-	NM_007297	INTRON	16	28	14	17	12	22	9	21	12	5	13	25	36	38	37	15	40	12	25
NC_000013.10	32907524	32910039	+	NM_000059	INTRON	0	2	0	0	3	7	2	0	4	0	0	1	0	0	0	2	6	2	0
NC_000013.10	32970253	32971034	+	NM_000059	INTRON	1	5	1	2	1	2	0	0	0	0	0	3	0	2	0	2	3	2	2
NC_000013.10	32944694	32950806	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	14
NC_000017.10	41226509	41231350	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32907524	32920963	+	NM_000059	INTRON	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32937670	32945092	+	NM_000059	INTRON	0	3	0	1	2	0	0	1	0	0	0	6	2	2	0	0	4	0	0
NC_000017.10	41267796	41277293	-	NR_027676	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	3	0	0
NC_000017.10	41246260	41256265	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32910406	32973032	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41277287	-	NR_027676	INTRON	23	29	10	13	10	20	6	7	13	10	11	17	16	15	24	26	39	25	15
NC_000017.10	41223255	41226358	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	2	2	0	2	0	2	2	4
NC_000013.10	32890664	32900237	+	NM_000059	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32950806	+	NM_000059	INTRON	37	102	65	50	35	46	30	27	35	33	36	52	48	61	49	22	95	112	42
NC_000017.10	41215390	41219624	-	NR_027676	INTRON	0	0	0	0	0	0	0	24	0	0	0	0	2	0	0	0	2	0	0
NC_000013.10	32899321	32903579	+	NM_000059	INTRON	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32954282	32971034	+	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256278	41256402	-	NR_027676	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41231416	41234420	-	NM_007300	INTRON	4	1	1	0	6	2	13	2	2	3	1	5	6	4	9	1	8	1	6
NC_000017.10	41251897	41256138	-	NM_007297	INTRON	50	108	47	67	53	59	47	64	43	38	75	66	85	85	113	93	95	140	72
NC_000017.10	41201917	41203079	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41199728	41201136	-	NR_027676	INTRON	1	0	2	0	0	0	0	1	4	0	0	0	0	0	3	0	1	0	1
NC_000017.10	41276119	41276753	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	4
NC_000013.10	32944694	32949450	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
NC_000013.10	32907524	32928997	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
