chr	start	end	strand	NM	intron	R9_01.txt	R9_02.txt	R9_03.txt	R9_04.txt	R9_05.txt	R9_06.txt	R9_07.txt	R9_08.txt	R9_09.txt	R9_10.txt	R9_11.txt	R9_12.txt	R9_13.txt	R9_14.txt	R9_15.txt	R9_16.txt	R9_17.txt	R9_18.txt	R9_19.txt	R9_20.txt
NC_000017.10	41256278	41256893	+	NM_007294	INTRON	0	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32892000	32893213	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	5	58
NC_000017.10	41215967	41219625	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32906434	33052246	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
NC_000017.10	41215390	41448992	+	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277287	-	NM_007294	INTRON	70	70	0	130	43	122	0	0	38	16	33	59	14	45	21	116	122	109	0	0
NC_000017.10	41277355	41321720	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	5297	18972	2419	11398	4577	9034	3459	9198	1024	21529	5716	12527	1224	5709	3853	12428	8115	11715	1816	4580
NC_000013.10	32929425	32950806	-	NM_000059	INTRON	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41203133	41209068	-	NM_007294	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228562	41281961	+	NM_007294	INTRON	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32918694	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223012	41418235	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32944687	32945086	+	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41226409	41277662	+	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41215349	-	NM_007294	INTRON	11066	11884	7296	15390	9513	13278	8420	8279	3329	7406	7593	9984	4245	10921	6343	10935	9501	10882	8815	16932
NC_000013.10	32906468	33131322	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32906646	33038003	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41202211	41203084	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32953126	32954275	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32950890	33082258	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32972447	33096752	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32915331	32918693	-	NM_000059	INTRON	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41258550	41262659	-	NM_007294	INTRON	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929143	32972689	+	NM_000059	INTRON	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256278	41256884	+	NM_007294	INTRON	10015	12640	3365	6257	3127	9897	536	1737	787	2059	3577	1845	842	1310	159	580	1904	3138	470	590
NC_000017.10	41245629	41494877	+	NM_007294	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41201917	41203079	+	NM_007294	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276047	41320200	+	NM_007294	INTRON	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32887412	32968933	+	NM_000059	INTRON	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32971080	33072395	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903626	32905128	+	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41247863	-	NM_007294	INTRON	2	0	0	0	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32949840	32950806	-	NM_000059	INTRON	43	9	0	12	0	4	0	0	0	2	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32931996	33135903	-	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226385	41546160	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32969065	32971030	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32903579	-	NM_000059	INTRON	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209079	41212191	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32929425	32936659	+	NM_000059	INTRON	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41201304	41228599	-	NM_007294	INTRON	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32943506	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
NC_000017.10	41201211	41203080	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41219710	41432409	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1
NC_000013.10	32906440	32911879	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41226537	41228504	+	NM_007294	INTRON	3	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0
NC_000017.10	41215390	41215892	+	NM_007294	INTRON	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890587	32915144	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32899702	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32918782	33059470	+	NM_000059	INTRON	1	6	1	3	0	0	0	1	0	1	0	4	0	3	0	2	2	3	0	2
NC_000013.10	32958509	32971034	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32889282	32890558	+	NM_000059	INTRON	2	745	15	260	73	157	0	190	0	382	0	0	8	238	13	288	80	115	0	232
NC_000017.10	41276055	41501502	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41219710	41222945	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41276119	41276544	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
NC_000017.10	41215390	41219623	-	NM_007294	INTRON	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41234435	41403287	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32954282	32968825	-	NM_000059	INTRON	5373	10539	2286	3599	2119	7501	92	918	297	587	847	618	447	1048	68	535	679	2204	298	390
NC_000017.10	41256278	41256886	-	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32899227	33212800	+	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893459	32899214	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41273574	-	NM_007294	INTRON	4	0	0	0	0	0	0	23	0	0	0	0	18	0	0	0	10	0	0	9
NC_000017.10	41226538	41242960	-	NM_007294	INTRON	32	94	0	20	0	0	0	0	0	2	29	0	0	4	0	35	0	0	87	38
NC_000013.10	32954157	33015399	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32968864	33128929	+	NM_000059	INTRON	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41198188	-	NM_007294	INTRON	0	0	0	0	2	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226541	41228508	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32936659	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
NC_000013.10	32903628	32905055	+	NM_000059	INTRON	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32949542	32950806	+	NM_000059	INTRON	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
NC_000013.10	32900418	32900635	+	NM_000059	INTRON	0	2	0	0	2	0	2	2	0	5	2	3	0	0	0	1	1	4	0	1
NC_000013.10	32950898	33143511	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32930746	32931933	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0
NC_000013.10	32945237	32945856	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32957198	+	NM_000059	INTRON	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226368	41346681	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32921544	32953937	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41234589	41242959	+	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	6941	5269	1437	4939	2403	4371	1729	4014	595	3042	2289	4184	850	3254	2502	5642	2730	4732	1581	3534
NC_000017.10	41256226	41403548	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32944694	32944789	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	7	0	0	0	96	16	0	0	0	0	0
NC_000013.10	32931966	32936659	-	NM_000059	INTRON	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900392	33128163	+	NM_000059	INTRON	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41242965	41318678	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41223255	41234420	+	NM_007294	INTRON	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243013	41442824	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32943533	32944538	+	NM_000059	INTRON	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
NC_000013.10	32903629	32928997	+	NM_000059	INTRON	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900745	32903576	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41256277	41256884	+	NM_007294	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32889804	32890558	-	NM_000059	INTRON	1119	4249	258	1284	362	1095	135	393	27	505	392	568	59	156	13	393	153	619	102	249
NC_000017.10	41267796	41277287	-	NM_007294	INTRON	0	0	0	10	0	53	0	21	0	23	44	0	0	10	6	4	34	27	153	211
NC_000017.10	41228628	41234420	+	NM_007294	INTRON	2528	3803	822	1856	1308	2238	34	357	454	526	790	128	290	103	19	378	537	1028	465	62
