chr	start	end	strand	NM	intron	SAMPLE01_S12_L001_R.txt	SAMPLE02_S6_L001_R.txt	SAMPLE03_S8_L001_R.txt	SAMPLE04_S5_L001_R.txt	SAMPLE05_S2_L001_R.txt	SAMPLE06_S4_L001_R.txt	SAMPLE07_S1_L001_R.txt	SAMPLE08_S11_L001_R.txt	SAMPLE09_S16_L001_R.txt	SAMPLE10_S7_L001_R.txt	SAMPLE11_S15_L001_R.txt	SAMPLE12_S10_L001_R.txt	SAMPLE13_S20_L001_R.txt	SAMPLE14_S14_L001_R.txt	SAMPLE15_S18_L001_R.txt	SAMPLE16_S19_L001_R.txt	SAMPLE17_S17_L001_R.txt	SAMPLE18_S9_L001_R.txt	SAMPLE19_S13_L001_R.txt	SAMPLE20_S3_L001_R.txt
NC_000013.10	32954282	32971034	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
NC_000017.10	41231416	41234420	-	NM_007300	INTRON	0	0	2	1	1	0	0	5	0	3	8	4	1	5	5	2	2	2	11	4
NC_000017.10	41258550	41267742	-	NM_007294	INTRON	53	62	30	36	52	14	32	206	37	42	36	40	29	55	49	47	15	23	84	45
NC_000017.10	41201917	41203079	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41251897	41256138	-	NM_007294	INTRON	40	46	23	29	27	8	36	136	29	42	28	20	17	48	53	59	26	29	88	34
NC_000017.10	41243650	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2
NC_000017.10	41199720	41203079	-	NM_007294	INTRON	2	0	0	2	0	0	2	4	0	0	0	0	0	0	2	1	4	2	2	1
NC_000017.10	41215390	41222944	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41276753	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41199728	41201136	-	NM_007294	INTRON	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0
NC_000017.10	41243645	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41199727	41201136	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890660	32893213	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41267742	-	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41276932	41277287	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32954282	32968825	+	NM_000059	INTRON	69	52	33	49	47	18	57	123	59	71	46	45	49	62	41	65	68	30	106	49
NC_000017.10	41246877	41247862	-	NM_007294	INTRON	41	35	22	29	30	4	18	95	17	29	29	28	32	29	47	23	22	24	41	21
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	44	31	20	22	42	20	38	103	37	52	38	45	37	43	66	58	34	24	76	32
NC_000013.10	32929425	32930647	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32916969	32986550	-	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	29	25	7	29	25	7	26	114	22	24	28	28	36	20	41	39	27	12	73	25
NC_000017.10	41219712	41222945	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41243666	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
NC_000013.10	32953652	32954143	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32905166	32906408	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41210240	-	NM_007294	INTRON	1	0	0	1	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41247939	41251791	-	NM_007294	INTRON	0	1	0	0	0	0	0	8	1	0	2	0	0	0	2	2	0	0	0	0
NC_000013.10	32936679	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32953927	32954058	-	NM_000059	INTRON	0	0	0	0	0	0	0	2	3	0	0	5	2	2	0	0	0	2	0	3
NC_000013.10	32899321	32900237	+	NM_000059	INTRON	9	9	7	10	10	3	4	40	6	5	3	8	16	4	14	15	9	9	16	4
NC_000013.10	32889804	32890558	+	NM_000059	INTRON	9	4	1	2	7	0	4	17	2	6	8	3	2	12	17	15	4	1	12	14
NC_000013.10	32915333	32918694	+	NM_000059	INTRON	23	17	17	15	25	15	21	50	12	19	28	18	17	29	27	31	22	25	46	19
NC_000013.10	32937670	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32907524	32910401	+	NM_000059	INTRON	10	6	4	33	6	0	8	36	10	4	4	3	2	16	18	4	7	7	23	4
NC_000017.10	41200277	41202605	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32946391	+	NM_000059	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41243049	41246760	-	NM_007294	INTRON	2	15	1	3	7	11	9	20	8	14	3	3	7	4	7	10	3	12	5	2
NC_000017.10	41241927	41378291	+	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
NC_000017.10	41201211	41203079	-	NM_007294	INTRON	136	110	43	100	115	61	123	242	90	136	73	80	93	106	123	131	79	69	159	80
NC_000017.10	41267796	41271137	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41267742	-	NM_007294	INTRON	0	0	0	3	0	0	0	3	0	2	1	0	0	0	2	4	14	0	2	0
NC_000013.10	32899321	32900378	+	NM_000059	INTRON	0	0	0	0	0	0	0	2	2	0	1	0	0	2	0	0	0	0	0	0
NC_000017.10	41223255	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41256278	41256893	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41206425	41209068	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
NC_000017.10	41215434	41349021	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32893462	32899212	+	NM_000059	INTRON	9	12	1	4	3	3	12	31	4	2	5	3	10	8	13	16	6	5	20	4
NC_000017.10	41215968	41219624	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41215968	41222944	-	NM_007294	INTRON	0	2	0	0	1	0	2	0	5	0	0	3	0	0	0	0	0	1	1	1
NC_000017.10	41276132	41276753	-	NM_007294	INTRON	14	9	2	7	6	8	9	20	9	4	8	15	7	8	13	0	5	4	22	8
NC_000013.10	32945237	32950807	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	17	6	1	11	11	0	8	32	14	8	7	6	8	10	27	11	3	6	18	3
NC_000013.10	32971181	32972274	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41228504	-	NM_007294	INTRON	111	63	54	94	80	52	58	268	77	105	44	78	56	100	83	96	70	51	144	82
NC_000017.10	41243049	41243451	-	NM_007294	INTRON	76	51	36	89	57	23	53	188	67	84	55	63	53	40	101	97	50	47	84	42
NC_000017.10	41276132	41277198	-	NM_007294	INTRON	2	0	0	0	4	2	0	6	2	0	2	2	0	0	1	0	2	1	8	0
NC_000013.10	32954282	32958029	+	NM_000059	INTRON	0	2	0	5	0	0	4	0	2	5	1	4	0	3	0	1	3	1	2	0
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	55	47	54	81	77	22	59	122	62	52	46	73	38	68	65	87	35	35	81	42
NC_000013.10	32954264	32960419	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32890294	32890558	+	NM_000059	INTRON	0	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41251791	-	NM_007294	INTRON	27	28	19	15	38	5	35	70	9	28	39	15	25	47	52	40	36	20	76	25
NC_000013.10	32911292	32912779	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
NC_000017.10	41243827	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32905167	32906408	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41215926	41219624	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41223255	41228504	-	NM_007294	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0
NC_000017.10	41209152	41215349	+	NM_007294	INTRON	0	2	0	8	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	15	11	13	20	11	2	4	45	11	10	4	5	13	13	16	11	5	6	17	0
NC_000017.10	41234592	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41257886	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32949543	32950806	+	NM_000059	INTRON	0	4	11	8	3	2	11	9	7	15	8	15	3	5	10	10	4	6	29	0
NC_000017.10	41234629	41242960	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41215349	-	NM_007294	INTRON	153	90	86	120	104	67	120	303	107	135	91	79	63	114	124	101	89	107	190	86
NC_000017.10	41226930	41228504	-	NM_007298	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0
NC_000013.10	32954264	32981781	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32937670	32938053	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
NC_000017.10	41234592	41242251	-	NM_007294	INTRON	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41276033	-	NM_007294	INTRON	0	0	2	2	0	0	0	3	0	1	3	0	0	0	4	0	0	0	0	0
NC_000017.10	41215968	41219624	-	NM_007294	INTRON	116	76	53	84	86	66	82	291	91	84	34	85	98	93	99	82	87	68	151	80
NC_000017.10	41242370	41242960	-	NM_007294	INTRON	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32954264	32977286	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41197819	41201137	-	NM_007294	INTRON	4	0	0	2	0	0	0	3	0	2	0	37	0	0	2	0	0	0	2	0
NC_000013.10	32890199	32890558	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32954282	32957175	+	NM_000059	INTRON	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	3	2	0
NC_000017.10	41256973	41258494	-	NM_007294	INTRON	16	2	2	5	2	0	2	2	12	2	6	6	0	8	8	0	1	3	16	9
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	44	28	34	46	30	30	34	90	39	36	50	29	54	43	41	37	21	7	100	26
NC_000017.10	41256278	41256884	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41203134	41209068	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32889031	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41200301	41202611	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41199720	41201137	-	NM_007294	INTRON	77	62	30	49	59	38	72	165	51	65	48	27	52	74	92	59	66	56	118	43
NC_000017.10	41210383	41215349	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32945237	32949717	+	NM_000059	INTRON	2	0	0	0	0	0	0	2	6	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41243049	41251791	-	NM_007294	INTRON	4	0	0	1	0	0	0	0	0	2	0	0	0	6	0	0	0	0	8	4
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	2	0	0	0	0
NC_000017.10	41243650	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41219624	41222944	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41276033	-	NM_007294	INTRON	41	73	37	56	45	13	31	174	33	29	50	31	33	65	59	42	27	27	93	34
NC_000013.10	32960535	32977286	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000017.10	41219712	41222875	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
NC_000013.10	32949840	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32953652	32953937	+	NM_000059	INTRON	0	1	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41219712	41222944	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41249603	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41187665	41199659	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41203134	41209068	-	NM_007294	INTRON	163	114	73	130	133	75	133	277	104	165	78	90	77	127	131	134	90	81	202	102
NC_000017.10	41243666	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0
NC_000013.10	32889282	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972298	+	NM_000059	INTRON	62	39	26	62	47	52	59	120	66	84	43	48	47	50	57	91	60	38	99	48
NC_000017.10	41247939	41249260	-	NM_007294	INTRON	26	35	25	19	40	5	34	88	10	37	32	22	34	39	59	20	33	23	61	18
NC_000013.10	32938153	32944538	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41243728	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41256973	41258472	-	NM_007294	INTRON	41	52	18	42	44	8	43	185	29	35	34	26	30	53	39	28	9	24	83	25
NC_000017.10	41228514	41307925	-	NM_007298	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32946600	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41258550	41273574	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32905167	32906408	+	NM_000059	INTRON	12	10	8	15	11	0	10	47	12	5	2	14	9	15	11	19	15	15	30	11
NC_000017.10	41258550	41277287	-	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41219712	41222879	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
NC_000017.10	41243049	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	13	1
NC_000013.10	32958168	32968825	+	NM_000059	INTRON	2	2	0	1	2	2	0	4	0	3	0	0	0	1	1	3	2	0	7	0
NC_000017.10	41223255	41226347	-	NM_007294	INTRON	139	116	71	92	105	54	121	264	95	131	86	68	85	98	119	118	84	79	128	101
NC_000017.10	41228631	41231350	-	NM_007294	INTRON	0	4	0	2	1	0	0	4	0	4	7	3	1	3	5	0	1	0	7	3
NC_000017.10	41234592	41242960	-	NM_007294	INTRON	82	76	58	74	52	29	48	196	55	70	51	47	51	67	76	90	54	49	105	57
NC_000017.10	41249606	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215439	41215890	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41256138	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41202388	41379918	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32918790	32920963	+	NM_000059	INTRON	26	33	11	28	40	13	34	97	32	43	38	26	28	34	55	35	18	15	62	24
NC_000017.10	41249306	41249509	-	NM_007294	INTRON	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41202207	41203079	-	NM_007294	INTRON	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	6	0
NC_000013.10	32929425	32930564	+	NM_000059	INTRON	49	32	10	45	39	10	36	128	20	33	39	27	34	47	47	42	24	28	81	14
NC_000013.10	32946133	32953849	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	11	10	5	14	10	0	9	28	4	1	3	7	5	4	9	9	2	10	7	8
NC_000017.10	41215968	41219625	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243049	41243451	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41216935	41482090	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32973368	33055294	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41256973	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32932066	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	2	0
