chr	start	end	strand	NM	intron	030060289t_BRCA2c426_R.txt	030060289u_BRCA2c426_R.txt	071110075t_BRCA2c426neg_R.txt	071110075u_BRCA2c426neg_R.txt	071110082t_BRCA2c426neg_R.txt	071110082u_BRCA2c426neg_R.txt	071110085t_BRCA2c426neg_R.txt	071110085u_BRCA2c426neg_R.txt	071110097t_BRCA2c426neg_R.txt	071110097u_BRCA2c426neg_R.txt	071110134t_BRCA2c426neg_R.txt	071110134u_BRCA2c426neg_R.txt	081110021t_BRCA2c426neg_R.txt	081110021u_BRCA2c426neg_R.txt	081110059t_BRCA2c426neg_R.txt	081110059u_BRCA2c426neg_R.txt	081110064t_BRCA2c426neg_R.txt	081110064u_BRCA2c426neg_R.txt	081110065t_BRCA2c426neg_R.txt	081110065u_BRCA2c426neg_R.txt	081110066t_BRCA2c426neg_R.txt	081110066u_BRCA2c426neg_R.txt
NC_000013.10	32900750	32903562	+	NM_000059	INTRON	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903627	32927406	-	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41249306	41251791	+	NM_007294	INTRON	2	2	2	2	0	3	1	0	2	4	4	2	1	6	3	3	0	4	2	2	0	0
NC_000013.10	32900750	33102458	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41246877	41249260	+	NM_007294	INTRON	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905128	+	NM_000059	INTRON	0	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905136	33009070	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32900418	32900635	-	NM_000059	INTRON	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41251791	-	NM_007294	INTRON	2	4	2	0	0	0	0	3	2	4	0	0	0	0	0	0	1	0	4	2	2	10
NC_000013.10	32900029	32900378	-	NM_000059	INTRON	0	0	0	0	0	0	0	20	0	0	0	0	0	34	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32903579	-	NM_000059	INTRON	24	30	28	0	14	38	12	8	14	4	4	22	14	0	2	22	8	10	48	14	10	10
NC_000013.10	32900659	32946889	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900287	32903579	-	NM_000059	INTRON	0	0	0	0	0	0	2	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905057	-	NM_000059	INTRON	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	-	NM_000059	INTRON	3611	3593	3514	9	5353	6154	5506	5262	4938	5874	5791	6718	5552	4631	4413	4314	4377	3813	3171	6719	3147	4030
NC_000017.10	41246877	41247862	+	NM_007294	INTRON	8	3	5	4	4	8	1	4	4	11	3	2	3	7	2	4	1	4	6	6	1	3
NC_000013.10	32903629	32905090	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905117	32950121	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900749	33037964	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32903629	32905056	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32899315	32900400	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41247939	41249260	-	NM_007294	INTRON	7	0	4	1	6	4	1	3	0	13	3	0	3	2	2	3	0	1	4	7	2	10
NC_000013.10	32899321	32899702	-	NM_000059	INTRON	0	0	0	0	0	0	0	3	0	0	0	6	0	6	0	0	0	0	0	0	0	0
NC_000013.10	32905080	33135009	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32899321	32903579	+	NM_000059	INTRON	26	36	24	0	18	16	6	12	18	10	16	38	8	0	0	18	8	8	40	22	8	6
NC_000013.10	32903605	33089798	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905055	-	NM_000059	INTRON	2741	2682	2718	6	3968	4623	4116	3852	3791	4377	4352	4954	4145	3380	3298	3240	3211	2845	2318	4994	2343	3032
NC_000013.10	32905119	33447024	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
NC_000013.10	32899321	32900635	-	NM_000059	INTRON	8	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	7	6	0
NC_000013.10	32905130	33024221	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32905120	33074830	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905056	+	NM_000059	INTRON	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905090	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900287	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32900029	32900378	+	NM_000059	INTRON	0	0	0	0	0	0	0	4	0	0	0	0	0	23	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32903579	+	NM_000059	INTRON	30	28	55	0	0	10	6	14	10	10	7	0	0	0	10	0	16	0	18	0	0	35
NC_000013.10	32899321	32900214	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
NC_000013.10	32900418	32900635	+	NM_000059	INTRON	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41247939	41251791	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900287	32900378	-	NM_000059	INTRON	1639	1715	2412	8	3641	4089	3623	3682	3335	4048	4025	4672	3886	3119	3052	2926	3011	2679	2400	4557	2158	2682
NC_000013.10	32900748	33033559	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905090	32981848	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	-	NM_000059	INTRON	3026	2985	3108	9	4801	5457	4838	4843	4396	5266	5232	6081	5095	4146	3994	3836	3989	3470	3062	6083	2882	3638
NC_000017.10	41246877	41247862	-	NM_007294	INTRON	6	4	3	2	4	5	3	5	0	14	5	0	2	2	2	3	1	1	10	10	5	10
NC_000013.10	32903629	32905057	+	NM_000059	INTRON	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903584	32978187	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
NC_000013.10	32900287	32903577	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32903579	-	NM_000059	INTRON	28	20	38	0	0	2	13	16	9	12	12	0	0	0	4	0	14	0	8	0	2	21
NC_000013.10	32903587	33280892	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41246877	41251791	+	NM_007294	INTRON	5	0	0	0	2	1	0	0	2	1	0	0	1	1	0	3	0	0	2	2	2	0
NC_000013.10	32903633	32905055	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32899321	32900237	+	NM_000059	INTRON	1010	1185	1496	3	2245	2614	2285	2113	2096	2604	2524	2728	2432	1975	1780	1750	1868	1489	1509	2789	1253	1696
NC_000013.10	32900287	32900378	+	NM_000059	INTRON	1666	1911	2528	6	3754	4267	3890	3559	3542	4259	4199	4604	4035	3400	2887	2810	3057	2578	2519	4708	2086	2692
NC_000013.10	32903587	33280892	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32900287	32903577	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32899321	32900237	-	NM_000059	INTRON	961	1033	1492	5	2217	2501	2207	2269	2034	2473	2470	2921	2390	1905	1914	1859	1764	1640	1524	2790	1330	1656
NC_000013.10	32900750	32903583	-	NM_000059	INTRON	3	0	0	0	0	0	32	18	26	23	56	33	35	0	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32900378	+	NM_000059	INTRON	574	417	0	0	0	50	13	20	2	3	36	5	15	0	18	35	23	0	0	31	20	79
NC_000013.10	32905117	32950121	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32900419	32900638	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32905119	33447024	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32900750	32903583	+	NM_000059	INTRON	10	0	0	0	0	0	23	21	35	12	67	36	29	0	0	0	2	0	0	0	0	0
NC_000013.10	32903629	32905132	+	NM_000059	INTRON	0	0	50	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32900402	32900714	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32900749	33037964	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905055	+	NM_000059	INTRON	2867	2855	2810	13	4064	4873	4185	3959	4020	4599	4728	5289	4375	3715	3230	3204	3361	2937	2560	5193	2416	3090
NC_000013.10	32899321	32900635	+	NM_000059	INTRON	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	5	0
NC_000013.10	32899321	32900657	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905146	33166148	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41247939	41249260	+	NM_007294	INTRON	5	2	3	3	2	6	0	1	1	6	5	2	1	6	4	3	0	6	5	3	0	1
NC_000013.10	32905113	33122673	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32900214	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41251791	-	NM_007294	INTRON	5	0	2	1	6	1	2	3	0	7	1	0	2	2	2	2	0	1	2	6	2	4
NC_000013.10	32905082	32995467	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41246877	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32899702	+	NM_000059	INTRON	0	0	0	0	0	0	0	6	0	0	0	4	0	12	0	0	0	0	0	0	0	0
NC_000013.10	32899321	32900378	-	NM_000059	INTRON	546	461	0	0	0	47	5	11	4	8	39	16	28	0	18	38	30	0	0	48	20	95
