chr	start	end	strand	NM	intron	RunCaen.txt	RunDouglas.txt	RunInge.txt	RunKvist.txt	RunLogan.txt	RunMthomassen.txt	RunPetra.txt	RunRachid.txt	RunRien.txt	RunVohansen.txt
NC_000013.10	32969070	32970127	-	NM_000059	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32931667	32931878	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41234589	41242960	+	NM_007294	INTRON	48	0	0	0	0	0	0	488	162	0
NC_000013.10	32954282	32968825	+	NM_000059	INTRON	12725	49	65	3197	141	42	273	0	445	50
NC_000017.10	41246877	41247862	-	NR_027676	INTRON	1224	21	10	1235	676	17	272	261	954	39
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	13630	32	31	1295	1	42	284	0	1422	54
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	5853	25	18	1137	123	38	235	0	458	36
NC_000013.10	32972306	32972348	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32893261	32907309	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41243666	41247862	-	NM_007294	INTRON	53	4	0	6	0	0	0	47	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	5	0	2	0	0	0	0	0	0	0
NC_000017.10	41199720	41201139	-	NM_007294	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32889804	32890558	+	NM_000059	INTRON	3746	14	9	127	0	25	254	0	2463	43
NC_000013.10	32945237	32946391	+	NM_000059	INTRON	0	0	4	0	0	0	1	0	0	0
NC_000013.10	32950931	32953456	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243049	41246760	-	NR_027676	INTRON	269	2	1	129	0	4	10	511	64	4
NC_000017.10	41201211	41203079	-	NR_027676	INTRON	11343	80	25	3024	46	45	222	2	782	70
NC_000013.10	32953898	33066015	+	NM_000059	INTRON	5	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41267742	-	NM_007297	INTRON	207	0	0	155	0	1	3	0	15	3
NC_000013.10	32953953	32953976	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32890664	32899212	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	42	0
NC_000013.10	32954282	32958029	-	NM_000059	INTRON	38	0	0	0	0	0	0	0	0	0
NC_000017.10	41243666	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	3	0	0	0
NC_000017.10	41228631	41229020	-	NM_007294	INTRON	9	0	0	0	0	0	0	0	0	0
NC_000013.10	32936830	32937315	-	NM_000059	INTRON	38	0	0	0	0	0	0	0	886	0
NC_000017.10	41215434	41349021	+	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276753	-	NR_027676	INTRON	489	8	8	122	0	4	19	0	8	6
NC_000017.10	41215968	41219624	+	NM_007294	INTRON	2652	0	0	0	0	0	0	0	1537	0
NC_000013.10	32945237	32950807	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	2994	3	9	282	147	24	337	0	6923	42
NC_000017.10	41243049	41243451	-	NR_027676	INTRON	3318	42	18	1983	554	35	187	540	816	49
NC_000017.10	41226538	41228504	-	NR_027676	INTRON	16183	82	41	4462	432	47	471	1084	3343	70
NC_000017.10	41196514	41196699	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	19	0
NC_000013.10	32931905	32972324	+	NM_000059	INTRON	0	0	0	21	0	0	0	0	0	0
NC_000017.10	41276132	41277198	-	NR_027676	INTRON	212	0	0	59	0	3	14	0	2	5
NC_000017.10	41243048	41246761	+	NM_007294	INTRON	0	0	0	0	0	0	0	10	0	0
NC_000013.10	32953474	32968909	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	20	0
NC_000017.10	41247939	41249260	+	NM_007294	INTRON	395	0	0	0	0	0	0	1393	907	0
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	14345	42	16	2137	109	43	238	0	1883	51
NC_000013.10	32890294	32890558	+	NM_000059	INTRON	0	0	0	10	0	0	1	0	0	0
NC_000017.10	41249306	41251791	-	NR_027676	INTRON	1905	25	19	1634	153	24	300	1722	1674	58
NC_000017.10	41202207	41203079	+	NM_007294	INTRON	7	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893214	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32892000	32893213	+	NM_000059	INTRON	5	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277287	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	73	0
NC_000017.10	41223255	41228504	-	NM_007294	INTRON	38	0	0	0	0	0	0	0	12	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	1816	0	4	513	505	25	226	0	1710	62
NC_000017.10	41234592	41251791	-	NM_007294	INTRON	0	2	2	0	0	0	0	0	0	0
NC_000017.10	41223024	41294249	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32949543	32950806	+	NM_000059	INTRON	1404	0	30	138	74	15	9	0	1	2
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	14	0	0	0	0	0	0	0	0	0
NC_000017.10	41223012	41418235	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41262481	+	NM_007294	INTRON	15	0	0	0	0	0	0	0	16	0
NC_000017.10	41226930	41228504	-	NM_007294	INTRON	1	0	1	0	0	0	0	0	0	0
NC_000017.10	41209152	41215349	-	NR_027676	INTRON	8815	86	42	4183	200	61	534	0	2143	72
NC_000013.10	32915331	32918693	+	NM_000059	INTRON	5	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32938053	+	NM_000059	INTRON	165	0	0	0	0	0	0	0	0	0
NC_000017.10	41242370	41242960	-	NM_007294	INTRON	0	0	0	0	0	0	0	67	0	0
NC_000013.10	32918790	32920963	-	NM_000059	INTRON	121	0	0	0	0	0	2	0	991	0
NC_000013.10	32950890	33082258	+	NM_000059	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41201137	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	40	0
NC_000013.10	32890199	32890558	+	NM_000059	INTRON	149	0	0	6	0	0	3	0	0	1
NC_000017.10	41256973	41258494	-	NM_007297	INTRON	133	9	12	295	0	4	30	0	70	3
NC_000017.10	41271948	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	10021	26	8	1468	311	32	338	0	719	30
NC_000017.10	41256278	41256884	+	NM_007294	INTRON	470	0	0	0	0	0	0	0	1479	0
NC_000013.10	32893462	32903579	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41226453	41463612	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41203339	41209068	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41199720	41201137	-	NR_027676	INTRON	16780	43	21	1759	509	33	117	0	1182	62
NC_000013.10	32945237	32950805	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41262597	41277287	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	6	0
NC_000017.10	41243049	41251791	-	NR_027676	INTRON	1392	4	5	354	0	10	38	1437	355	7
NC_000017.10	41234592	41249260	+	NM_007294	INTRON	0	0	0	0	0	0	0	20	0	0
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	59	0	0	0	0	6	1	0	0	0
NC_000013.10	32954159	33101853	+	NM_000059	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000017.10	41277373	41321859	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	4	0
NC_000017.10	41243650	41251791	-	NM_007294	INTRON	18	0	0	46	0	1	0	27	6	0
NC_000017.10	41267796	41276033	-	NR_027676	INTRON	6422	34	16	2238	456	30	381	0	2530	82
NC_000017.10	41246859	41283454	+	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41258550	41276033	+	NM_007294	INTRON	6	0	0	0	0	0	0	0	6	0
NC_000017.10	41197819	41203079	-	NM_007294	INTRON	2	0	2	0	0	0	0	0	0	0
NC_000013.10	32907524	32910631	+	NM_000059	INTRON	12	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918694	-	NM_000059	INTRON	65	0	0	0	0	0	0	0	441	0
NC_000017.10	41243021	41477578	+	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	317	0	0	0	0	0	2	0	1556	0
NC_000017.10	41201185	41457806	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41222944	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41215388	41215889	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32765790	32954249	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41203134	41209068	-	NR_027676	INTRON	7196	102	49	4115	643	60	434	1	1014	80
NC_000017.10	41228631	41242960	+	NM_007300	INTRON	0	0	0	0	0	0	0	138	0	0
NC_000013.10	32889282	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	7	0	0	0
NC_000017.10	41243666	41249260	-	NM_007294	INTRON	133	0	0	44	0	1	7	140	11	0
NC_000013.10	32971181	32972298	+	NM_000059	INTRON	27962	48	59	2219	0	25	193	0	1356	46
NC_000017.10	41276055	41501502	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41276544	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41242972	41334537	-	NM_007294	INTRON	3	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41258472	-	NR_027676	INTRON	3809	25	15	1971	145	26	429	0	1709	49
NC_000017.10	41243650	41243728	-	NM_007294	INTRON	84	0	0	0	0	0	0	0	0	0
NC_000013.10	32950927	32953453	+	NM_000059	INTRON	3	0	0	0	0	0	0	0	0	0
NC_000013.10	32890294	32890558	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	26	0
NC_000013.10	32954282	32968825	-	NM_000059	INTRON	298	0	0	0	0	0	0	0	1051	0
NC_000017.10	41256278	41256886	-	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41242960	-	NM_007298	INTRON	87	0	0	0	0	0	2	0	0	0
NC_000013.10	32954050	32954167	+	NM_000059	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32905167	32906408	+	NM_000059	INTRON	1146	11	5	600	347	18	338	0	636	49
NC_000013.10	32969070	32972298	+	NM_000059	INTRON	48	0	2	0	0	0	0	0	0	0
NC_000013.10	32958168	32968825	+	NM_000059	INTRON	275	0	0	143	0	2	7	0	0	0
NC_000013.10	32918790	32920963	+	NM_000059	INTRON	3226	24	16	1747	296	29	292	0	679	58
NC_000013.10	32921033	33105403	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32903629	32918694	+	NM_000059	INTRON	50	0	0	0	0	0	0	0	0	0
NC_000013.10	32939660	32944538	+	NM_000059	INTRON	15	0	2	0	0	1	0	0	0	0
NC_000017.10	41243046	41251790	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243666	41249260	+	NM_007294	INTRON	38	0	0	0	0	0	0	108	2	0
NC_000013.10	32929425	32930564	+	NM_000059	INTRON	8146	14	28	1733	104	48	329	0	1645	44
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	1581	8	0	294	458	4	41	0	857	23
NC_000017.10	41243520	41247862	+	NM_007294	INTRON	0	0	0	0	0	0	0	7	0	0
NC_000013.10	32932054	33033286	+	NM_000059	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41249509	+	NM_007294	INTRON	0	0	0	0	0	0	0	7	0	0
NC_000013.10	32900392	33128163	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32939562	+	NM_000059	INTRON	29	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918697	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32893462	32899212	-	NM_000059	INTRON	73	0	0	0	0	0	0	0	1635	0
NC_000013.10	32971127	32972394	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	5	0
NC_000017.10	41197732	41199678	-	NM_007294	INTRON	30	0	0	0	0	0	0	0	0	0
NC_000013.10	32889804	32890558	-	NM_000059	INTRON	102	0	0	0	0	0	0	0	4797	0
NC_000017.10	41267796	41277287	-	NM_007294	INTRON	153	2	0	12	0	1	2	0	0	0
NC_000017.10	41228628	41234420	+	NM_007294	INTRON	465	0	0	0	0	0	0	1153	361	0
NC_000017.10	41234592	41242960	+	NM_007294	INTRON	1310	0	0	0	0	0	0	5242	2292	0
NC_000013.10	32903629	32910401	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	98	0
NC_000013.10	32969070	32971059	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32900287	32900378	+	NM_000059	INTRON	2077	0	4	424	0	28	277	0	1945	64
NC_000013.10	32893359	33365104	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32899321	32900237	-	NM_000059	INTRON	54	0	0	0	0	0	0	0	1114	0
NC_000017.10	41251894	41256138	+	NM_007294	INTRON	219	0	0	0	0	0	0	0	199	0
NC_000017.10	41249606	41251791	+	NR_027676	INTRON	0	0	0	0	0	0	0	6	0	0
NC_000017.10	41234592	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	82	0	0
NC_000017.10	41243666	41247862	+	NM_007294	INTRON	66	0	0	0	0	0	0	34	0	0
NC_000017.10	41215968	41436680	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41259312	41339429	+	NM_007294	INTRON	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41201211	41209068	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	7	0
NC_000017.10	41247960	41249260	-	NM_007294	INTRON	13	0	0	0	0	0	0	20	0	0
NC_000017.10	41201211	41201798	-	NM_007294	INTRON	60	0	0	8	0	0	0	0	0	0
NC_000017.10	41256278	41256402	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	5	0
NC_000017.10	41244156	41247862	-	NR_027676	INTRON	35	0	0	0	0	0	2	0	5	1
NC_000013.10	32954050	32954150	+	NM_000059	INTRON	8	0	0	0	0	0	0	0	0	0
NC_000017.10	41243049	41246768	-	NR_027676	INTRON	0	0	0	0	0	0	0	2	0	1
NC_000017.10	41234535	41234570	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41219712	41222879	+	NM_007294	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32969070	32970127	+	NM_000059	INTRON	55	1	0	49	0	3	9	0	52	0
NC_000017.10	41270664	41550434	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32937670	32944603	+	NM_000059	INTRON	8	0	0	0	0	0	0	0	0	0
NC_000013.10	32971181	32972360	-	NM_000059	INTRON	10	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32910401	+	NM_000059	INTRON	0	0	5	0	0	0	1	0	0	4
NC_000013.10	32969070	32971034	+	NM_000059	INTRON	25073	48	66	2816	156	33	219	0	2294	32
NC_000017.10	41215390	41215890	-	NR_027676	INTRON	6240	77	39	4137	91	63	484	0	2363	73
NC_000013.10	32900285	32900378	+	NM_000059	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41226347	+	NM_007294	INTRON	2127	0	0	0	0	0	1	0	1616	0
NC_000017.10	41219712	41222944	-	NR_027676	INTRON	21152	100	48	5296	0	70	426	0	3031	75
NC_000013.10	32932066	32936659	+	NM_000059	INTRON	6939	23	30	1113	2	24	219	0	599	29
NC_000017.10	41258549	41267742	-	NM_007294	INTRON	4	0	0	0	0	0	0	0	1	0
NC_000013.10	32936679	32944636	+	NM_000059	INTRON	158	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32944538	-	NM_000059	INTRON	71	0	0	0	0	0	0	0	1096	0
NC_000017.10	41271282	41276033	-	NM_007294	INTRON	0	0	0	25	0	0	0	0	0	0
NC_000017.10	41197819	41199659	-	NR_027676	INTRON	27282	46	29	1393	0	34	128	0	1711	65
NC_000017.10	41228631	41231350	+	NM_007294	INTRON	0	0	0	0	0	0	0	87	189	0
NC_000017.10	41199728	41201136	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	11	0
NC_000017.10	41243043	41251785	-	NM_007294	INTRON	0	0	0	0	0	0	0	11	0	0
NC_000013.10	32890664	32893213	-	NM_000059	INTRON	93	0	0	0	0	0	0	0	2105	0
NC_000013.10	32954050	32954143	-	NM_000059	INTRON	623	0	0	0	0	0	0	0	381	0
NC_000017.10	41267796	41268453	-	NM_007294	INTRON	35	0	0	14	0	0	1	0	0	0
NC_000013.10	32899321	32899702	+	NM_000059	INTRON	11	0	0	0	0	0	0	0	0	0
NC_000017.10	41262597	41267742	-	NR_027676	INTRON	74	0	0	36	0	0	2	0	82	7
NC_000013.10	32890664	32891918	+	NM_000059	INTRON	5	0	1	0	0	0	0	0	12	0
NC_000013.10	32929425	32931878	+	NM_000059	INTRON	11	0	0	0	0	0	0	0	0	0
NC_000013.10	32944694	32945092	+	NM_000059	INTRON	15099	33	24	2310	0	39	290	0	2444	11
NC_000017.10	41215909	41246157	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41201211	41209068	-	NR_027676	INTRON	121	0	1	38	0	1	0	0	0	0
NC_000013.10	32954050	32954143	+	NM_000059	INTRON	14328	28	45	2336	0	30	371	0	1566	46
NC_000017.10	41276119	41276412	-	NM_007294	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949479	+	NM_000059	INTRON	219	0	13	32	0	8	3	0	35	2
NC_000017.10	41215968	41256138	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41276132	41277287	+	NR_027676	INTRON	76	0	0	0	0	0	0	0	1837	0
NC_000013.10	32921033	32928997	+	NM_000059	INTRON	7085	24	28	2369	477	54	377	0	430	59
NC_000017.10	41201211	41203079	+	NM_007294	INTRON	859	0	0	0	0	0	0	0	1325	0
NC_000017.10	41276132	41277294	-	NR_027676	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41322142	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41277338	41446577	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32900029	32900237	+	NM_000059	INTRON	0	0	2	15	0	0	0	0	0	0
NC_000013.10	32886663	32953940	+	NM_000059	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41246818	41246864	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41267796	41273574	-	NR_027676	INTRON	107	0	1	17	49	1	5	0	18	3
NC_000017.10	41228628	41231350	+	NM_007294	INTRON	78	0	0	0	0	0	0	0	3	0
NC_000017.10	41226538	41228504	+	NM_007294	INTRON	1752	0	0	0	0	0	2	1072	3012	0
NC_000017.10	41276132	41276412	-	NM_007294	INTRON	8	0	2	6	0	0	0	0	0	0
NC_000013.10	32972496	32972722	+	NM_000059	INTRON	0	0	0	26	0	0	0	0	0	0
NC_000017.10	41246877	41251791	-	NR_027676	INTRON	425	2	0	243	417	5	47	143	468	14
NC_000013.10	32900289	32900380	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243024	41535887	+	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41273697	41276033	-	NM_007294	INTRON	16	0	0	0	0	0	0	0	0	0
NC_000017.10	41228631	41234420	+	NM_007300	INTRON	645	0	0	0	0	0	4	2855	1025	0
NC_000013.10	32893462	32899216	+	NM_000059	INTRON	17	0	0	0	0	0	2	0	0	0
NC_000017.10	41234589	41242960	-	NR_027676	INTRON	715	3	8	189	0	3	29	448	164	7
NC_000013.10	32946136	32950830	-	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32907524	32910039	+	NM_000059	INTRON	28	0	0	0	0	2	1	0	12	2
NC_000017.10	41251894	41256138	-	NM_007297	INTRON	608	6	13	894	0	8	98	0	336	15
NC_000013.10	32936830	32944538	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	10	0
NC_000013.10	32944694	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	3	0
NC_000013.10	32970253	32971034	+	NM_000059	INTRON	189	2	0	35	0	1	1	0	58	2
NC_000013.10	32907524	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41267796	41277293	-	NM_007294	INTRON	141	0	4	0	0	0	1	0	0	0
NC_000013.10	32937670	32945092	+	NM_000059	INTRON	109	0	0	0	0	0	1	0	0	0
NC_000013.10	32953581	32981126	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	1	0
NC_000017.10	41246877	41247862	+	NM_007294	INTRON	202	0	0	0	0	0	0	284	1066	0
NC_000013.10	32950928	32953453	-	NM_000059	INTRON	267	0	0	0	0	0	0	0	544	0
NC_000017.10	41243048	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	19	0	0
NC_000017.10	41276132	41277287	-	NR_027676	INTRON	1334	8	0	174	279	9	48	0	689	26
NC_000017.10	41223253	41226347	-	NM_007294	INTRON	6	0	0	0	0	0	0	0	0	0
