chr	start	end	strand	NM	intron	SAMPLE01_S12_L001_R.txt	SAMPLE02_S6_L001_R.txt	SAMPLE03_S8_L001_R.txt	SAMPLE04_S5_L001_R.txt	SAMPLE05_S2_L001_R.txt	SAMPLE06_S4_L001_R.txt	SAMPLE07_S1_L001_R.txt	SAMPLE08_S11_L001_R.txt	SAMPLE09_S16_L001_R.txt	SAMPLE10_S7_L001_R.txt	SAMPLE11_S15_L001_R.txt	SAMPLE12_S10_L001_R.txt	SAMPLE13_S20_L001_R.txt	SAMPLE14_S14_L001_R.txt	SAMPLE15_S18_L001_R.txt	SAMPLE16_S19_L001_R.txt	SAMPLE17_S17_L001_R.txt	SAMPLE18_S9_L001_R.txt	SAMPLE19_S13_L001_R.txt	SAMPLE20_S3_L001_R.txt
chr22	24110111	24316227	-	NM_001301339	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	4647142	4647285	+	NM_001136046	INTRON	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr3	44674091	44681432	+	NM_001024855	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr10	81568588	81571868	-	NR_120611	INTRON	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0
chr17	54990494	54990752	-	NM_005082	INTRON	6	5	0	2	1	0	2	0	3	4	1	2	1	2	2	0	0	0	5	8
chr6	26409961	26410093	+	NM_001145008	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr21	36259393	36421138	-	NM_001001890	INTRON	0	0	1	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
chr8	74907476	74917030	+	NM_015364	INTRON	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	48900092	48921429	-	NM_000387	INTRON	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
chr2	26416545	26416597	-	NM_000182	INTRON	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
chr8	25297180	25298092	-	NM_017634	INTRON	69	79	47	104	69	39	90	208	45	98	60	56	53	71	117	87	57	91	183	94
chr1	236717039	236717897	+	NM_018072	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	28812637	28821518	+	NM_001170585	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr1	245010008	245017520	-	NM_004501	INTRON	1	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0
chr19	40477145	40480200	+	NM_006503	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr2	128703133	128707442	-	NM_001145928	INTRON	99	86	84	70	89	69	90	222	96	92	61	115	87	104	100	131	68	92	200	78
chr17	1554750	1641448	-	NM_006445	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chrX	48325464	48326096	-	NM_033518	INTRON	156	148	110	146	124	66	122	245	114	92	392	121	390	171	298	172	139	120	106	115
chr22	31302056	31302183	+	NM_001282741	INTRON	3	0	0	1	0	2	0	1	0	1	0	3	1	0	6	0	0	2	5	2
chr4	48106972	48111997	-	NM_003328	INTRON	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
chr10	98146835	98154943	-	NM_012465	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chrX	19663593	19665674	-	NM_001024666	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr10	70990512	70992519	+	NR_120648	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	21216990	21280990	+	NM_001172671	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr11	93421031	93428662	+	NM_033395	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0
chr1	31905893	32081736	+	NM_001199037	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr2	37505132	37506888	+	NM_005813	INTRON	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	41369331	41369699	+	NM_001291586	INTRON	56	19	9	69	59	15	60	64	50	60	33	102	83	58	110	38	50	56	83	67
chr4	119756986	119757494	+	NM_001318066	INTRON	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr16	23544086	23546208	-	NM_001083614	INTRON	60	70	38	74	87	28	60	146	33	55	130	71	159	67	78	61	57	66	104	70
chr1	35451075	35486194	+	NM_007167	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr17	59946745	59947097	-	NM_001330417	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
chrX	70327616	70327685	-	NM_000206	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr20	2778704	2778797	-	NM_001184699	INTRON	154	49	2	119	46	150	72	194	46	119	17	352	85	34	305	4	387	296	8	16
chr11	58188476	58294808	-	NM_001005566	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr16	30199150	30199333	+	NM_001193333	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	8	0
chr19	19637069	19637240	+	NM_015965	INTRON	0	0	0	0	0	0	0	2	6	1	0	0	2	0	0	0	3	0	4	1
chr5	139235363	139240229	-	NM_013982	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr15	56658091	56676149	+	NM_001286449	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2
chr19	984498	985864	+	NM_024100	INTRON	0	2	1	2	2	0	0	0	0	1	2	2	0	0	0	0	0	0	2	0
chr9	304704	311953	+	NM_001190458	INTRON	82	156	81	108	124	37	136	258	95	93	197	76	80	131	171	141	107	97	242	97
chr1	85573860	85575257	+	NM_001288563	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr4	83292737	83294598	-	NM_002138	INTRON	739	645	642	827	781	583	756	1517	761	703	1381	838	1140	1270	1209	970	1006	984	1572	902
chr7	150500920	150501914	+	NM_018487	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
chr16	56508862	56509418	+	NM_001324357	INTRON	223	167	153	193	222	141	172	379	160	164	331	235	344	298	313	271	174	216	357	239
chr15	42462090	42470415	-	NM_001301138	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
chr19	49797810	49834332	-	NR_036209	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	2
chr6	28186116	28186341	+	NR_002936	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
chr20	13769298	13782131	+	NM_001039375	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
chr5	56510020	56517216	+	NM_001127235	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	217364056	217364744	+	NM_000998	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr2	191524721	191535051	-	NM_001321312	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr1	207140457	207140927	-	NM_001122979	INTRON	3	0	0	2	0	2	3	24	2	0	0	17	1	0	4	0	1	11	3	0
chr11	118888153	118888243	-	NM_001028	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr18	48591839	48593388	+	NM_005359	INTRON	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	1	0	4	0
chrX	16816978	16836696	+	NM_018360	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr3	121377194	121379666	+	NM_001292041	INTRON	4	10	1	12	12	2	3	9	3	2	3	6	6	6	0	7	2	1	2	5
chr12	54675286	54680445	+	NM_002136	INTRON	7	5	2	15	7	7	8	32	9	9	10	17	17	31	3	21	12	2	45	13
chr9	131312221	131314646	-	NM_001130438	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chrX	19377141	19377606	+	NM_000284	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	93890406	93923336	-	NM_015368	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr17	9615449	9631270	+	NM_001267576	INTRON	0	0	0	1	0	1	7	1	0	3	0	1	1	0	0	1	2	0	0	0
chr3	9933788	10187945	+	NM_032492	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr3	52242263	52245298	-	NM_000688	INTRON	6	9	2	4	0	4	2	4	0	0	0	0	4	10	0	2	2	0	3	4
chr1	222904858	222905969	+	NM_001288579	INTRON	70	77	65	65	63	57	100	184	77	65	59	88	88	103	99	90	60	117	158	71
chr19	50385409	50385576	+	NM_001168222	INTRON	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
chr22	20847504	20850046	-	NM_032775	INTRON	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr10	11569566	11615604	-	NM_001080491	INTRON	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	2	4	0
chrX	55935233	55978064	+	NM_001324105	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chrUn_gl000219	88319	88347	-	NR_027436	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr3	142747488	142747743	+	NM_001080415	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	70235613	70235737	+	NM_001039465	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr9	136899978	136901153	-	NM_007371	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr1	53413752	53427174	+	NM_001193599	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr8	28210925	28217108	-	NM_018660	INTRON	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
chr6	108224198	108225832	-	NM_007214	INTRON	18	11	4	9	10	2	9	8	2	4	5	0	11	8	5	4	4	3	31	7
chr1	55073429	55073614	+	NM_015547	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr13	46717528	46718576	-	NM_002298	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr1	155823597	155826937	+	NM_001282856	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	117157681	117158223	-	NM_024738	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	64112629	64116805	-	NM_032251	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	66926765	67377075	+	NM_012308	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr17	65344770	65346344	-	NM_001316341	INTRON	265	275	160	215	296	183	285	739	216	192	493	244	554	469	480	374	271	229	663	297
chr4	152022311	152024071	+	NM_001006	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr18	34424265	34465519	-	NM_020776	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr2	30974117	30975918	-	NM_144575	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr20	42815585	42816263	-	NM_020433	INTRON	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
chr2	170669636	170671986	-	NM_001293186	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr11	61541619	61546324	-	NM_001127392	INTRON	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0
chr16	12624667	12790554	+	NM_032167	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	67963751	67963854	-	NM_001907	INTRON	0	0	0	2	0	2	0	0	1	2	0	0	0	0	2	0	0	0	0	0
chr2	17888646	17889066	-	NM_001142286	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
chr22	24020704	24310075	+	NR_024448	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
chr19	45493874	45494096	-	NM_001282175	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chrX	153228884	153229206	-	NM_005334	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chrX	153582851	153582983	-	NM_001110556	INTRON	536	449	357	583	510	130	575	1168	377	347	647	565	499	689	778	950	310	455	385	538
chr20	37161501	37163703	+	NM_001282917	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	111847071	111849291	-	NM_001190260	INTRON	8	17	9	13	17	10	33	29	21	13	2	9	6	31	1	19	18	10	27	18
chr1	21554534	21560050	+	NM_001113347	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrX	70325987	70327702	-	NM_001025265	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	130808437	130815305	-	NM_001164386	INTRON	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	2
chr11	834067	836062	+	NM_004357	INTRON	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
chr6	26370570	26445952	+	NM_001197246	INTRON	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	102374061	102419751	-	NM_001301107	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
chr11	5542141	5542850	-	NR_133006	INTRON	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
chr11	72301074	72538256	+	NM_001143839	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr15	66792661	66793335	-	NM_000968	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	124334085	124495416	+	NM_001005195	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr20	36839041	37049350	-	NM_001029864	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr15	41378845	41379759	-	NM_017553	INTRON	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr15	45021750	45023560	+	NR_125376	INTRON	249	282	167	298	265	169	316	475	267	263	332	284	375	520	453	391	241	207	550	334
chr16	47002020	47002044	-	NM_005880	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	33895520	33900598	+	NR_135479	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr3	49339975	49355741	-	NM_003363	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr19	52888570	52892872	+	NM_001145434	INTRON	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	44776532	44778748	+	NM_016396	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chrX	100531516	100532593	-	NM_001168474	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr19	37999305	38011432	+	NM_001013659	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	129115983	129116253	-	NR_002992	INTRON	4	0	2	5	2	0	1	0	0	0	1	0	0	0	3	4	0	0	1	4
chr19	37343174	37367686	+	NM_001242474	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr8	33354815	33355862	+	NM_032509	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr12	56227615	56480796	+	NR_036476	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	116980087	116989922	-	NM_145062	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	67688802	67689933	+	NM_001013838	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
chr4	184622961	184626131	-	NM_021942	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	51855075	51857397	+	NM_001039960	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	190907	192886	+	NM_001042415	INTRON	4	0	8	1	7	0	8	3	3	13	3	7	2	22	9	6	14	12	34	6
chr2	24509214	24516556	-	NM_001348181	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr19	56206117	56206234	+	NM_001130071	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
