chr	start	end	strand	NM	intron	001_CZMEL1_010080483_RNA_NXrun2_R.txt	001_CZMEL1_030060289_RNA_NXrun2_R.txt	001_CZMEL1_050020176_RNA_NXrun2_R.txt	001_CZMEL1_060090425_RNA_NXrun2_R.txt	001_CZMEL1_060090915_RNA_NXrun2_R.txt	001_CZMEL1_07III0075_RNA_NXrun2_R.txt	001_CZMEL1_07III0082_RNA_NXrun2_R.txt	001_CZMEL1_07III0085_RNA_NXrun2_R.txt	001_CZMEL1_07III0097_RNA_NXrun2_R.txt	001_CZMEL1_07III0134_RNA_NXrun2_R.txt	001_CZMEL1_08III0021_RNA_NXrun2_R.txt	001_CZMEL1_08III0059_RNA_NXrun2_R.txt	001_CZMEL1_08III0064_RNA_NXrun2_R.txt	001_CZMEL1_08III0065_RNA_NXrun2_R.txt	001_CZMEL1_08III0066_RNA_NXrun2_R.txt	001_CZMEL1_990033193_RNA_NXrun2_R.txt	001_CZMEL1_990050355_RNA_NXrun2_R.txt	001_CZMEL1_990061923_RNA_NXrun2_R.txt	001_CZMEL1_T010080483_RNA_NXrun2_R.txt	001_CZMEL1_T030060289_RNA_NXrun2_R.txt	001_CZMEL1_T050020176_RNA_NXrun2_R.txt	001_CZMEL1_T060090425_RNA_NXrun2_R.txt	001_CZMEL1_T060090915_RNA_NXrun2_R.txt	001_CZMEL1_T07III0075_RNA_NXrun2_R.txt	001_CZMEL1_T07III0082_RNA_NXrun2_R.txt	001_CZMEL1_T07III0085_RNA_NXrun2_R.txt	001_CZMEL1_T07III0097_RNA_NXrun2_R.txt	001_CZMEL1_T07III0134_RNA_NXrun2_R.txt	001_CZMEL1_T08III0021_RNA_NXrun2_R.txt	001_CZMEL1_T08III0059_RNA_NXrun2_R.txt	001_CZMEL1_T08III0064_RNA_NXrun2_R.txt	001_CZMEL1_T08III0065_RNA_NXrun2_R.txt	001_CZMEL1_T08III0066_RNA_NXrun2_R.txt	001_CZMEL1_T990033193_RNA_NXrun2_R.txt	001_CZMEL1_T990050355_RNA_NXrun2_R.txt	001_CZMEL1_T990061923_RNA_NXrun2_R.txt
chr7	148523571	148525909	-	NM_004456	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr4	128815036	128816107	+	NM_001190799	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr7	44715748	44721318	+	NM_001003941	INTRON	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	5	2	0
chr11	292095	292545	+	NM_025092	INTRON	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr9	33255925	33256798	-	NM_001172415	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr3	66447359	66448535	-	NM_015541	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	3	0	0	0	0	1
chr7	95825416	95838149	-	NM_001160210	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20	34054897	34055128	+	NM_001318219	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	108196271	108196784	-	NM_000051	INTRON	2	0	0	0	3	2	0	0	1	0	4	0	5	8	0	2	0	0	0	1	0	2	0	0	0	4	0	1	2	0	0	1	1	0	4	0
chr5	34922693	34922799	+	NM_018321	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
chr10	85904772	85908485	+	NM_014394	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0
chr1	19243536	19244855	-	NM_001136265	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22	20128535	20128739	+	NM_001185024	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	115252293	115258750	-	NM_002524	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr17	5114250	5118219	-	NM_001319190	INTRON	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	2	1	2	0	0	4	0	1	0	2	1	0	0	1	2	1
chr12	69202866	69202958	+	NM_001145337	INTRON	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
chr2	190656667	190660497	+	NM_000534	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr22	29115430	29120967	-	NM_001005735	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrUn_gl000220	118310	158219	+	NR_046235	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	145140041	145140191	+	NM_003801	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
chr8	145008613	145008802	-	NM_000445	INTRON	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	3	0	1	0
chrUn_gl000220	113677	157620	+	NR_046235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	118963521	118963644	+	NM_000190	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrUn_gl000220	110267	118083	+	NR_046235	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	50741888	50759441	+	NM_001293557	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr22	42274127	42274662	+	NM_004599	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1
chrUn_gl000220	115080	153090	+	NR_046235	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6_mcf_hap5	3962201	3962812	-	NR_133907	INTRON	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	74340368	74345627	+	NM_006591	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
chr19	11095049	11095948	+	NM_001128844	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr16	74943815	74946095	-	NM_001324172	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr21	36259393	36421138	-	NM_001001890	INTRON	2	2	3	2	3	6	17	40	24	22	1	12	4	20	9	7	1	3	8	19	0	6	8	6	45	59	20	47	6	17	16	35	31	6	0	8
chr3	130425979	130442257	-	NM_014602	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	25297180	25298092	-	NM_017634	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
chr10	105647005	105648829	-	NM_024928	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	28541507	28555432	-	NM_014280	INTRON	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	128703133	128707442	-	NM_001145928	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr21	38866520	38868419	+	NM_001347721	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr5	71616336	71617998	+	NM_001284403	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
chr11	134090620	134093756	-	NM_015261	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
chrX	48325464	48326096	-	NM_033518	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	1519320	1519952	-	NM_001080453	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13	49039174	49055543	+	NM_000321	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	22846768	22847988	+	NM_001083621	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	117863006	117864186	-	NM_006265	INTRON	0	0	0	0	1	1	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	1	0	1	0	3	0	2	0	0	0	1	0	2	0	0
chr17	41369331	41369699	+	NM_001291586	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	23544086	23546208	-	NM_001083614	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
chr7	148506247	148512035	-	NM_001203247	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	6031442	6031603	-	NM_000535	INTRON	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr20	2778704	2778797	-	NM_001184699	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	103498073	103516090	+	NM_001165412	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13	29001078	29001295	-	NM_001159920	INTRON	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
chr2	102792105	102792812	+	NM_000877	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr9	139887863	139888031	+	NM_001329678	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrX	53228340	53230731	-	NM_001146702	INTRON	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
chr9	304704	311953	+	NM_001190458	INTRON	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr19	15281636	15284878	-	NM_000435	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2
chr4	83292737	83294598	-	NM_002138	INTRON	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	2	3	0	2	0	1	1	0	2	0	1	1	2
chr16	56508862	56509418	+	NM_001324357	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr9	98220566	98221881	-	NM_000264	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr11	108236080	108352436	+	NM_000051	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr17	48266899	48267039	-	NM_000088	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr5	177031542	177034302	+	NM_007255	INTRON	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chrUn_gl000220	110012	118065	+	NR_046235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr18	48591839	48593388	+	NM_005359	INTRON	3	1	0	5	2	2	0	6	2	1	2	1	4	1	0	4	6	4	15	48	25	57	21	8	77	64	37	41	43	31	45	42	29	40	50	32
chr12	7023823	7024599	+	NM_001975	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	69734710	69736362	-	NM_014911	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
chr11	118359475	118360494	+	NM_001197104	INTRON	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
chr9	36966721	37002644	-	NM_001280547	INTRON	739	871	943	1186	1114	1182	861	1131	1512	1327	933	1142	987	1548	993	902	1567	947	1361	1565	1380	1211	1807	550	2503	1798	1871	2486	2367	1659	2253	2576	2262	1544	2314	1767
chr9	111692201	111693276	-	NM_001318360	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
chr11	108180063	108199887	+	NM_000051	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr14	45606444	45607917	+	NM_001308133	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chrUn_gl000220	113799	157772	+	NR_046235	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	26453162	26455027	-	NM_000182	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0
chr1	222904858	222905969	+	NM_001288579	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	29563039	29568963	+	NM_000267	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr11	108192103	108196258	+	NM_000051	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	67069294	67069589	+	NM_001347901	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
chr11	118916543	118917128	-	NM_001130991	INTRON	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	1	1	0	0
chr19	50919980	50920301	-	NM_001256849	INTRON	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	0	2	0	1	2	0	1	3	0	1	0	0	0	4	1
chrUn_gl000220	110498	118259	+	NR_046235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11	47813542	47814337	-	NM_015231	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	79951081	79952229	+	NM_002439	INTRON	2	0	2	1	7	3	3	5	3	3	6	1	0	5	0	3	3	2	5	3	7	5	6	4	12	4	14	13	9	4	14	4	12	11	11	6
chr8	38698228	38699804	+	NM_001122824	INTRON	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1
chr2	163212991	163213267	+	NM_001330265	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr8	42805598	42812236	+	NM_032410	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	100006424	100009242	-	NM_001013399	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13	103518261	103518614	+	NM_000123	INTRON	1	0	1	0	1	1	2	0	0	0	0	1	6	2	0	0	1	1	0	0	0	3	4	0	2	1	4	2	1	0	1	1	0	0	1	0
chr17	65344770	65346344	-	NM_001316341	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
chr13	48942712	48955415	+	NM_000321	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr12	6765964	6772230	-	NM_001127582	INTRON	326	208	306	176	310	546	396	504	467	375	385	452	301	476	155	198	463	356	505	520	362	425	449	117	867	702	458	507	442	532	578	574	455	326	622	473
chr22	23655208	23656738	+	NM_004327	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr3	39425284	39430985	+	NM_017875	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
chr3	185879452	185882686	-	NM_001080744	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr6	396319	397107	+	NM_002460	INTRON	0	0	0	0	0	8	0	0	19	10	6	5	0	0	0	0	42	18	0	0	0	0	0	3	0	0	25	34	22	13	0	0	0	0	81	21
chr22	24734445	24743053	+	NM_001254733	INTRON	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0
chr5	86697583	86700734	-	NM_001199189	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrX	153582851	153582983	-	NM_001110556	INTRON	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
chr1	241663832	241665742	-	NM_000143	INTRON	0	0	0	1	3	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	3	0	0	0	3	0	1	0	1
chr12	111079432	111080053	+	NM_001082537	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr11	47254510	47256076	+	NM_000107	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr13	49684542	49688790	+	NM_014923	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	57543414	57545036	+	NM_001322176	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr21	42771210	42771250	+	NM_002463	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	114375742	114376959	-	NM_001193431	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
chr15	45021750	45023560	+	NR_125376	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
chr13	31724319	31725083	-	NM_001286503	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrUn_gl000220	115145	154558	+	NR_046235	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	69094730	69210591	+	NM_001330192	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr9	127920654	127923120	-	NM_001123355	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr20	39690130	39704810	+	NM_003286	INTRON	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	3	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0
