chr	start	end	strand	NM	intron	10_2X_S10_R.txt	1_2X_S1_R.txt	2_2X_S2_R.txt	3_2X_S3_R.txt	4_2X_S4_R.txt	5_2X_S5_R.txt	6_2X_S6_R.txt	7_2X_S7_R.txt	8_2X_S8_R.txt	9_2X_S9_R.txt
chrX	48325464	48326096	-	NM_033518	INTRON	157	130	1	183	292	270	224	92	355	226
chr22	36545419	36546005	-	NM_014349	INTRON	0	0	0	0	0	0	0	0	1	0
chr10	98146835	98154943	-	NM_012465	INTRON	0	0	0	2	0	0	0	0	0	0
chr16	2964290	2983130	+	NM_001308068	INTRON	5	18	0	5	5	1	2	11	23	5
chr11	93421031	93428662	+	NM_033395	INTRON	0	2	0	0	0	4	0	0	2	0
chrX	53681074	53699219	-	NM_031407	INTRON	0	0	0	0	0	0	0	1	0	0
chr2	37505132	37506888	+	NM_005813	INTRON	2	0	0	0	0	0	2	2	0	0
chrX	119675539	119676820	-	NM_001079872	INTRON	0	0	0	1	0	0	0	0	0	0
chr17	41369331	41369699	+	NM_001291586	INTRON	3	5	0	13	7	6	14	7	6	13
chr12	6646552	6647151	+	NM_001256799	INTRON	0	0	0	1	0	0	0	0	0	0
chr4	119756986	119757494	+	NM_001318066	INTRON	0	2	0	2	5	0	3	3	0	0
chr16	23544086	23546208	-	NM_001083614	INTRON	38	64	1	44	83	54	41	27	73	61
chr1	35451075	35486194	+	NM_007167	INTRON	0	0	0	0	0	0	0	4	0	0
chr17	34951610	34956099	+	NM_024308	INTRON	0	0	0	0	0	1	0	0	0	0
chr20	2778704	2778797	-	NM_001184699	INTRON	78	161	0	80	75	33	44	135	349	290
chr12	40922109	40924074	+	NM_173600	INTRON	0	0	0	0	2	0	0	0	0	0
chr15	74836825	74865202	+	NM_001307939	INTRON	0	0	0	0	0	2	0	0	0	0
chr12	104995769	104997107	+	NM_001173982	INTRON	0	0	0	0	2	1	0	0	2	2
chr11	58188476	58294808	-	NM_001005566	INTRON	0	0	0	0	0	0	0	0	0	1
chr2	27995559	28108938	+	NM_004891	INTRON	0	0	0	0	0	2	0	0	0	0
chr19	19637069	19637240	+	NM_015965	INTRON	1	2	0	0	3	2	2	5	2	3
chr16	30199150	30199333	+	NM_001193333	INTRON	1	14	0	10	22	12	24	10	8	9
chr19	984498	985864	+	NM_024100	INTRON	0	0	0	0	0	0	6	0	3	0
chr9	304704	311953	+	NM_001190458	INTRON	51	84	1	77	99	47	91	69	86	100
chr2	206037105	206041168	+	NM_001302769	INTRON	0	0	0	0	0	0	2	0	0	0
chr4	83292737	83294598	-	NM_002138	INTRON	726	1241	5	739	1078	813	808	876	1112	841
chr1	85573860	85575257	+	NM_001288563	INTRON	1	0	0	0	0	0	0	0	0	0
chr7	75677544	75681129	+	NR_104165	INTRON	2	0	0	0	0	2	0	0	0	0
chr16	56508862	56509418	+	NM_001324357	INTRON	145	218	3	189	206	168	238	195	354	194
chr19	49797810	49834332	-	NR_036209	INTRON	2	0	0	2	0	0	0	0	0	1
chr11	19140800	19167727	+	NM_019028	INTRON	0	0	0	1	0	0	0	0	0	0
chr6	28186116	28186341	+	NR_002936	INTRON	0	2	0	0	0	0	0	0	0	0
chr5	56510020	56517216	+	NM_001127235	INTRON	0	1	0	0	0	0	0	0	0	1
chr22	17688180	17693394	-	NM_001282227	INTRON	0	0	0	0	0	0	0	2	0	0
chr15	28447910	28451385	-	NM_004667	INTRON	0	0	0	0	1	0	0	2	0	0
chr17	55026795	55027249	+	NM_004645	INTRON	0	0	0	0	2	0	0	0	0	0
chr18	48591839	48593388	+	NM_005359	INTRON	0	2	0	2	0	4	1	0	3	0
chr3	121377194	121379666	+	NM_001292041	INTRON	2	4	0	2	5	5	10	2	13	3
chr12	54675286	54680445	+	NM_002136	INTRON	2	0	0	3	7	6	20	0	0	7
chr17	9615449	9631270	+	NM_001267576	INTRON	0	1	0	0	0	0	0	0	2	0
chr3	52242263	52245298	-	NM_000688	INTRON	2	6	0	0	2	2	8	2	6	2
chr1	222904858	222905969	+	NM_001288579	INTRON	126	201	1	162	129	93	119	210	99	111
chrX	55935233	55978064	+	NM_001324105	INTRON	0	0	0	0	0	1	0	0	2	0
chr7	99048418	99049911	+	NM_001081559	INTRON	0	2	0	0	0	0	0	0	0	0
chr1	53413752	53427174	+	NM_001193599	INTRON	0	0	0	0	0	0	0	2	0	0
chr8	28210925	28217108	-	NM_018660	INTRON	0	0	0	0	4	0	2	3	0	2
chr6	108224198	108225832	-	NM_007214	INTRON	16	37	0	27	34	37	23	40	26	17
chr13	46717528	46718576	-	NM_002298	INTRON	0	0	0	0	1	0	2	0	1	0
chr1	155823597	155826937	+	NM_001282856	INTRON	0	2	0	0	0	0	0	0	0	0
chr17	65344770	65346344	-	NM_001316341	INTRON	546	955	2	698	755	534	739	865	903	680
chr7	110340843	110603555	-	NM_001244606	INTRON	0	0	0	0	0	0	0	1	0	0
chr18	34424265	34465519	-	NM_020776	INTRON	0	0	0	0	2	0	0	0	0	0
chr2	30974117	30975918	-	NM_144575	INTRON	0	0	0	0	0	0	0	0	1	0
chr7	102938400	102939889	+	NM_004279	INTRON	0	3	0	0	0	1	0	2	1	0
chr7	140397077	140402665	+	NM_004546	INTRON	0	0	0	0	0	0	0	2	0	0
chr16	67963751	67963854	-	NM_001907	INTRON	0	0	0	2	0	0	2	0	0	0
chr11	65305296	65305928	+	NM_001048218	INTRON	0	0	0	0	0	0	0	1	0	0
chr2	17888646	17889066	-	NM_001142286	INTRON	0	0	0	0	1	3	0	6	2	0
chr17	57106084	57106256	-	NM_001005207	INTRON	1	2	0	4	4	7	0	10	8	0
chr15	85328126	85333870	+	NM_014630	INTRON	0	0	0	0	0	0	0	0	1	0
chr5	40696498	40834292	-	NM_012382	INTRON	0	0	0	0	1	0	0	0	0	0
chrX	153582851	153582983	-	NM_001110556	INTRON	185	153	2	282	231	345	377	205	737	368
chr3	111847071	111849291	-	NM_001190260	INTRON	0	1	0	0	0	0	2	0	2	0
chrX	70325987	70327702	-	NM_001025265	INTRON	0	0	0	0	2	0	0	0	0	0
chr3	49128591	49402029	+	NM_001320580	INTRON	0	0	0	0	2	0	0	0	0	0
chr12	77240459	77242012	-	NM_015336	INTRON	0	0	0	0	2	0	0	0	0	0
chr5	130808437	130815305	-	NM_001164386	INTRON	0	0	0	4	0	0	0	0	4	1
chr22	39709662	39713464	-	NM_000967	INTRON	0	0	0	1	0	0	0	0	0	0
chr17	27047851	27049832	+	NM_000984	INTRON	0	0	0	0	0	0	0	0	0	1
chr2	26477342	26478786	+	NM_000183	INTRON	2	14	0	5	14	6	8	7	3	6
chr9	100435063	100435771	+	NM_002486	INTRON	0	0	0	1	0	0	0	0	1	0
chr2	216838658	216861028	-	NM_018000	INTRON	1	0	0	2	1	0	5	1	0	1
chr7	6728722	6728803	-	NM_006956	INTRON	0	0	0	0	0	0	0	0	0	1
chr22	35680036	35683339	+	NM_001003681	INTRON	13	11	0	14	14	1	9	6	0	7
chr15	45021750	45023560	+	NR_125376	INTRON	10	13	1	14	9	18	21	11	11	12
chr11	9482623	9501018	+	NM_001282656	INTRON	0	0	0	0	0	0	2	0	0	0
chr1	212736337	212837928	-	NM_001030287	INTRON	0	2	0	0	0	0	2	0	0	0
chr12	123915206	123921070	-	NM_145058	INTRON	4	4	0	10	33	8	29	16	11	9
chr16	2588137	2749821	+	NM_001261816	INTRON	0	2	0	0	0	0	0	0	0	0
chr4	156762717	156763358	-	NM_017419	INTRON	0	0	0	0	0	0	0	0	0	2
chr3	49339975	49355741	-	NM_003363	INTRON	1	0	0	0	0	0	0	0	1	0
chr4	184932576	184938241	+	NM_020225	INTRON	0	0	0	0	0	0	0	0	2	0
chr15	44776532	44778748	+	NM_016396	INTRON	0	0	0	0	0	1	1	0	0	0
chr8	41792385	41794773	+	NM_006766	INTRON	0	2	0	0	0	0	0	0	0	0
chr12	6647105	6979512	+	NM_001256799	INTRON	0	0	0	0	1	0	0	0	0	0
chrX	100531516	100532593	-	NM_001168474	INTRON	2	0	0	2	0	0	0	0	0	0
chr3	129115983	129116253	-	NR_002992	INTRON	7	11	0	9	12	4	11	18	20	10
chr18	686008	687065	-	NM_001126123	INTRON	0	2	0	0	0	0	1	0	0	0
chr7	123185730	123186637	-	NM_001282419	INTRON	2	0	0	0	0	0	0	0	0	1
chr1	183486955	183489131	+	NM_001174061	INTRON	0	0	0	0	0	2	0	0	0	0
chr12	51855075	51857397	+	NM_001039960	INTRON	0	0	0	2	0	1	0	1	0	0
chr8	190907	192886	+	NM_001042415	INTRON	2	10	0	1	1	2	9	0	1	4
chr11	22777499	22783942	+	NM_001143830	INTRON	0	3	0	0	0	0	0	0	3	0
chr11	72004303	72004428	-	NM_001258392	INTRON	0	1	0	0	0	0	0	0	0	2
chr17	3538859	3539345	-	NM_013276	INTRON	0	0	0	0	0	0	0	0	2	0
chr10	5494488	5494787	+	NM_001047160	INTRON	2	12	0	2	13	14	6	10	0	6
chr17	41104685	41105740	-	NM_001136042	INTRON	0	0	0	0	0	0	0	1	0	0
chr22	29611028	29621121	+	NM_001267895	INTRON	0	4	0	1	1	2	5	3	7	8
chr10	43101538	43127376	-	NM_001305040	INTRON	0	0	0	0	0	2	0	0	0	0
chr11	2973039	2976973	-	NM_005969	INTRON	0	0	0	0	0	0	0	0	0	2
chr12	120634599	120637259	-	NM_001002	INTRON	0	0	0	0	1	0	0	0	0	0
chr1	3440810	3496388	-	NR_030277	INTRON	0	2	0	0	0	0	0	0	1	0
chr13	113439571	113459270	+	NM_015205	INTRON	15	11	0	13	10	18	31	6	14	5
chr19	55144211	55144439	+	NM_001081637	INTRON	1	1	0	8	0	3	0	2	3	2
chr10	126445394	126448981	-	NM_001304467	INTRON	2	9	0	3	2	0	1	6	2	2
chr2	162059442	162059997	-	NM_001199135	INTRON	0	2	0	0	0	0	0	0	0	0
chr5	115785513	115807964	+	NM_001300780	INTRON	0	0	0	0	1	0	0	0	0	1
chr15	52668755	52671821	-	NM_000259	INTRON	60	103	1	102	98	110	126	121	98	117
chr14	50050317	50050349	-	NM_001032	INTRON	0	0	0	1	0	0	0	0	0	0
chr11	76075476	76076895	-	NR_130898	INTRON	13	27	0	9	17	2	9	12	17	5
chr3	179131569	179132777	-	NM_021629	INTRON	0	0	0	0	2	0	3	0	0	1
chr6	155572155	155573019	+	NM_001010927	INTRON	0	0	0	1	0	0	0	0	0	0
chr2	228146282	228146419	-	NR_102371	INTRON	0	0	0	0	0	0	0	0	2	0
chr15	44085280	44085872	+	NM_001018108	INTRON	0	1	0	0	2	1	0	0	0	0
chr20	55966874	55967452	+	NM_001291780	INTRON	6	2	0	11	13	6	9	6	12	1
chr5	179050638	179105004	-	NM_001257293	INTRON	0	0	0	0	1	0	0	0	0	0
chr9	100767435	100769915	+	NM_006401	INTRON	13	13	0	6	10	5	6	2	8	10
chr7	108137199	108137936	-	NM_001256007	INTRON	0	2	0	0	0	0	0	0	2	0
chr2	74759841	74759992	+	NM_001289164	INTRON	1	0	0	0	3	0	5	2	5	2
chr19	8275746	8280977	+	NM_024552	INTRON	0	0	0	0	0	0	0	2	0	0
chr14	31782558	31784975	-	NM_015473	INTRON	0	0	0	1	0	0	0	0	0	0
chr3	191047512	191072044	+	NM_198152	INTRON	0	1	0	0	4	0	0	0	4	2
chr11	116824823	116827452	-	NM_001281748	INTRON	0	12	0	3	3	3	8	7	7	1
chr4	38906335	38907142	+	NM_001330764	INTRON	0	2	0	0	0	0	0	0	0	0
chr5	132161874	132163152	-	NM_133456	INTRON	7	0	0	0	0	0	1	0	1	0
chr3	58936065	58967011	-	NR_110820	INTRON	1	0	0	0	0	0	0	0	0	0
chr15	40324438	40324957	+	NM_001013703	INTRON	118	202	2	191	132	195	186	204	221	114
chr7	120478966	120496751	-	NM_012338	INTRON	0	0	0	0	1	0	0	0	0	0
chr3	49397815	49405860	-	NM_001313943	INTRON	42	85	0	54	97	54	70	99	125	36
chr19	14517772	14517900	+	NM_001025160	INTRON	0	1	0	6	3	1	6	7	7	5
chr7	73098003	73105245	+	NM_001202560	INTRON	0	1	0	0	0	0	0	3	0	0
chr3	185644522	185649364	+	NM_004593	INTRON	34	29	0	48	77	35	26	44	74	21
chr6	111806064	111808545	+	NR_034111	INTRON	0	0	0	1	0	0	0	4	0	0
chr15	41102414	41102585	+	NM_001077268	INTRON	0	0	0	3	2	5	4	4	2	2
chr4	68529665	68530908	-	NM_018227	INTRON	0	0	0	0	2	0	0	0	0	0
chrX	11129953	11130138	+	NM_001122608	INTRON	0	0	0	0	0	4	0	0	0	0
chr8	48698969	48701466	-	NM_001081640	INTRON	2	3	0	2	2	2	2	0	0	0
chr9	127622473	127622511	-	NM_007209	INTRON	0	0	0	0	0	0	0	0	2	0
chr2	242206042	242206208	-	NM_001243900	INTRON	1	0	0	0	0	0	0	0	0	2
chr20	30823510	30824801	+	NM_015352	INTRON	0	4	0	0	2	0	3	0	2	0
chr3	155621749	155623948	+	NM_003875	INTRON	135	294	1	296	354	371	333	270	490	235
chr11	66025279	66026054	+	NM_001134774	INTRON	0	0	0	0	0	1	0	0	0	1
chr6	37347971	37348925	+	NM_003958	INTRON	0	0	0	0	0	0	2	0	1	0
chr2	37364160	37365412	-	NM_001135651	INTRON	133	255	2	172	223	284	264	251	364	191
chr16	1826423	2014298	-	NM_080861	INTRON	0	0	0	0	0	0	0	0	0	2
chr9	33304550	33311103	+	NM_001318758	INTRON	0	0	0	1	0	0	0	0	0	0
chr11	66582556	66583523	+	NM_001302084	INTRON	0	0	0	0	0	0	1	3	0	0
chr9	92033033	92041560	-	NM_001142287	INTRON	0	0	0	0	2	0	2	0	0	0
chr13	49765520	49771012	+	NM_001079673	INTRON	21	46	0	28	54	46	56	36	37	35
chr6	10749501	10749889	+	NM_001127711	INTRON	0	0	0	0	0	2	0	0	0	0
chr16	56855505	56856498	+	NM_001242795	INTRON	0	2	0	0	0	0	0	0	0	0
chr3	72148162	72149054	-	NR_104116	INTRON	29	24	0	35	23	87	71	4	32	7
chr3	191087825	191097449	+	NM_178335	INTRON	0	1	0	0	0	0	0	0	0	0
chr1	54389620	54405657	-	NM_001316935	INTRON	14	20	0	24	30	12	4	16	12	4
chr3	167415965	167422624	-	NM_007217	INTRON	0	0	0	2	0	0	0	0	0	0
chr22	32914321	32923904	-	NM_001135774	INTRON	0	0	0	2	0	0	0	0	0	0
chr15	85643297	85643386	+	NM_001243137	INTRON	44	100	1	29	74	16	52	115	79	87
chr5	137715953	137717039	+	NM_016604	INTRON	0	1	0	0	0	0	0	0	0	0
chr17	26947033	26947144	-	NM_001321560	INTRON	2	0	0	0	0	0	0	0	0	0
chr16	24833468	24834194	+	NM_001330520	INTRON	179	291	3	133	148	103	181	209	164	151
chr10	22605485	22606785	+	NM_001204062	INTRON	2	4	0	0	0	0	2	2	0	0
chr22	29678546	29687553	+	NM_001163285	INTRON	8	10	0	5	10	12	9	3	9	18
chr17	59981946	59984768	-	NM_001330417	INTRON	16	17	0	41	26	14	36	14	15	19
chr6	74227864	74227928	-	NM_001402	INTRON	0	0	0	1	3	0	3	0	1	0
chr1	31414119	31414844	-	NM_001020658	INTRON	305	491	6	465	615	391	482	436	458	323
chr11	18422557	18424386	-	NM_001165414	INTRON	0	0	0	0	2	0	2	0	0	2
chr22	50662685	50662756	-	NM_020461	INTRON	0	5	0	0	2	0	1	2	0	0
chr10	94214296	94220947	-	NM_001165946	INTRON	0	1	0	0	0	2	3	0	0	2
chr12	6646136	7053200	+	NM_001256799	INTRON	0	0	0	0	0	0	0	0	0	2
chr2	3462286	3464033	+	NM_001321102	INTRON	0	2	0	0	2	0	0	0	0	0
chr11	116741117	116744196	-	NM_001281748	INTRON	50	81	0	58	84	70	45	73	84	40
chr4	3075206	3088665	+	NR_045414	INTRON	0	0	0	0	2	0	0	0	0	0
chr2	68615622	68620279	+	NM_002664	INTRON	1	3	0	1	4	3	3	0	2	0
chr20	2821473	2838538	+	NM_001271168	INTRON	0	0	0	0	0	0	0	0	1	0
chr4	845762	853393	-	NM_001318134	INTRON	65	118	1	64	106	100	159	93	171	60
chr10	89005969	89037950	-	NR_024397	INTRON	1	0	1	0	6	1	1	0	5	1
chr2	65292993	65508047	-	NM_001319100	INTRON	0	0	0	0	0	0	0	1	0	0
chr5	134074482	134076755	+	NM_001745	INTRON	3	2	0	0	3	1	2	2	4	2
chr16	24966051	24970870	-	NM_001006634	INTRON	1	0	0	0	0	0	0	0	0	0
chr10	98165246	98169299	-	NM_012465	INTRON	0	0	0	0	0	1	0	0	0	0
chr2	47202661	47205930	+	NM_001288951	INTRON	2	0	0	0	0	0	0	0	0	0
chr1	160715371	160759584	-	NM_001282588	INTRON	2	0	0	2	0	0	0	0	0	6
chr17	12883550	12887847	+	NM_001321164	INTRON	2	3	0	11	1	1	28	0	11	5
chr12	49496942	49498528	-	NM_001300750	INTRON	0	0	0	0	0	0	0	0	2	0
chr3	112724789	112727017	-	NM_001319109	INTRON	1	0	0	1	0	2	4	1	3	0
chr2	159922483	159946095	+	NM_001145909	INTRON	0	2	0	22	4	1	32	8	2	0
chr16	70351491	70398445	+	NM_001014449	INTRON	0	0	0	1	1	0	0	0	0	0
chr8	42911988	42932358	+	NM_002027	INTRON	1	2	0	1	0	0	1	2	4	1
chr7	141315277	141353226	+	NM_018238	INTRON	0	0	0	0	0	0	0	0	1	0
chr16	11794420	11808209	-	NM_001303447	INTRON	3	11	0	6	4	0	8	5	1	5
chr1	116670960	116690844	+	NM_152367	INTRON	0	0	0	0	0	0	0	0	0	1
chr19	40854631	40863599	+	NM_012268	INTRON	0	2	0	0	0	0	0	0	0	0
chr4	1739441	1742552	+	NM_006342	INTRON	0	0	0	1	0	0	0	0	0	0
chr1	24020321	24020384	+	NM_000975	INTRON	0	0	0	0	0	0	1	0	0	1
chr14	39870460	39870901	-	NM_203301	INTRON	0	7	0	0	0	0	0	0	0	0
chr1	22852875	22870149	+	NM_001083621	INTRON	0	0	0	0	0	1	0	0	0	0
chr3	50385332	50386111	-	NM_006545	INTRON	0	0	0	0	0	0	1	0	0	0
chr11	3803375	3827669	-	NM_005387	INTRON	0	0	0	1	1	0	0	0	1	2
chr14	60752459	60758114	+	NM_177951	INTRON	25	26	0	27	37	20	21	20	13	13
chr19	19257656	19257844	-	NM_001145785	INTRON	74	130	1	51	52	38	118	38	151	50
chr10	5780328	5781580	+	NM_001321783	INTRON	0	0	0	2	0	0	0	0	0	0
chr15	75631685	75632042	+	NM_001284377	INTRON	185	124	0	150	200	185	218	191	393	199
chr19	14826282	14828468	+	NM_001300912	INTRON	0	0	0	0	1	0	0	0	0	0
chr22	17622123	17623163	-	NM_017829	INTRON	0	1	0	0	0	0	0	0	0	0
chr16	24046868	24066920	+	NM_002738	INTRON	0	3	0	0	0	0	0	0	0	0
chr10	70182647	70190192	-	NM_001080449	INTRON	13	4	0	12	12	8	7	8	4	10
chr7	5256554	5256720	+	NM_001033518	INTRON	0	0	0	0	1	0	0	0	0	0
chr3	40571807	40607755	+	NM_001287245	INTRON	0	0	0	0	0	2	0	0	0	0
chr1	161165235	161165964	+	NM_001320336	INTRON	0	0	0	0	0	2	0	0	2	0
chr6	157100605	157123253	+	NR_039676	INTRON	2	0	0	0	1	0	0	0	0	0
chr11	8498830	8609512	-	NM_030906	INTRON	0	2	0	0	0	0	0	0	0	0
chr17	37356996	37357465	+	NM_001330200	INTRON	591	940	6	890	1225	565	723	684	857	479
chr14	31177271	31182921	+	NM_001257376	INTRON	2	11	0	2	3	0	1	0	0	0
chr17	42786734	42800247	+	NM_025104	INTRON	8	11	0	14	12	14	18	3	6	8
chr2	99796168	99802639	+	NM_001320417	INTRON	0	0	0	0	1	0	0	0	0	0
chr4	39456240	39456536	-	NM_000661	INTRON	0	0	0	0	0	0	0	0	2	0
chr12	32893206	32893342	+	NM_001278463	INTRON	0	0	0	0	0	0	1	0	0	0
