chr	start	end	strand	NM	intron	LU_01.008.0483_LCL_mRNA_L1_S1..txt	LU_01.008.0483_LCL_totRNA_L1_S1..txt	LU_03.006.0289_LCL_mRNA_L1_S1..txt	LU_03.006.0289_LCL_totRNA_L1_S1..txt	LU_05.002.0176_LCL_mRNA_L1_S1..txt	LU_05.002.0176_LCL_totRNA_L1_S1..txt	LU_06.009.0425_LCL_mRNA_L1_S1..txt	LU_06.009.0425_LCL_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_mRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_untr_mRNA_L1_S1..txt	LU_07.111.0075_LCL_mRNA_L1_S1..txt	LU_07.111.0075_LCL_totRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_totRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_totRNA_L1_S1..txt	LU_08.111.0021_LCL_mRNA_L1_S1..txt	LU_08.111.0021_LCL_totRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_mRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_totRNA_L1_S1..txt	LU_99.005.0355_LCL_mRNA_L1_S1..txt	LU_99.005.0355_LCL_totRNA_L1_S1..txt	LU_99.006.1923_LCL_totRNA_L1_S1..txt
chr12	123693715	123730835	+	NM_022782	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr21	39644479	39668847	+	NM_001276436	INTRON	0	0	0	3	1	0	1	5	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	1
chr6	36466263	36467649	-	NM_001305102	INTRON	1	4	0	1	0	0	1	3	6	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1
chr18	13068990	13069053	+	NM_032142	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr4	128815036	128816107	+	NM_001190799	INTRON	2	2	4	7	1	2	2	8	14	3	6	2	1	1	0	6	0	2	6	4	6	2	0	8
chr11	292095	292545	+	NM_025092	INTRON	0	2	1	2	0	0	0	2	5	0	0	0	0	0	2	5	3	0	0	0	2	0	1	1
chr2	47964645	48030558	+	NM_001281492	INTRON	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr9	33255925	33256798	-	NM_001172415	INTRON	4	5	3	19	0	0	3	18	82	4	5	0	0	7	0	24	2	1	10	4	11	9	1	3
chr11	125448153	125448851	+	NM_001290135	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr4	151837890	151842349	-	NM_001199282	INTRON	6	4	0	7	1	0	2	9	4	2	1	0	4	1	0	4	0	0	1	0	3	1	0	0
chr2	61729445	61743295	-	NM_003400	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	108196271	108196784	-	NM_000051	INTRON	0	1	0	0	0	0	12	0	0	21	0	15	2	0	0	0	0	0	8	4	4	0	0	4
chr1	235296648	235298966	-	NM_001346738	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	34922693	34922799	+	NM_018321	INTRON	8	15	7	49	2	0	5	14	73	13	4	3	1	2	0	29	2	5	8	7	7	6	2	9
chr10	85904772	85908485	+	NM_014394	INTRON	16	25	11	35	2	2	8	17	64	7	5	1	3	9	1	50	2	5	6	3	17	4	2	11
chr10	89405796	89690819	+	NM_001015880	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	19243536	19244855	-	NM_001136265	INTRON	1	9	0	3	0	0	0	5	9	0	0	2	0	2	3	12	3	0	0	0	1	2	1	4
chr7	140058585	140060020	-	NM_001287498	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr22	20128535	20128739	+	NM_001185024	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
chr1	224175856	224180167	-	NR_132119	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0
chrX	108781360	108784703	+	NM_001242617	INTRON	3	7	0	5	0	1	2	9	5	2	0	2	3	0	2	11	1	0	5	3	1	2	0	3
chr17	5114250	5118219	-	NM_001319190	INTRON	26	31	5	23	1	0	12	24	73	11	6	6	4	29	7	75	2	3	0	8	8	3	0	4
chrX	117576572	117577569	+	NM_001184965	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr12	112518938	112528529	-	NM_024953	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr8	145140041	145140191	+	NM_003801	INTRON	0	1	1	7	1	2	0	1	1	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0
chr2	27592786	27592972	-	NM_001318965	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
chr7	44621422	44621629	-	NM_001303060	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	150123505	150131751	+	NM_001252050	INTRON	4	3	0	3	0	2	3	2	15	0	1	1	0	2	1	8	2	0	4	2	2	1	0	3
chr1	43315413	43316620	+	NM_001242739	INTRON	2	0	0	5	0	0	0	5	4	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0
chr8	145008613	145008802	-	NM_000445	INTRON	0	5	0	0	0	1	0	4	0	0	0	0	0	2	0	4	0	0	0	0	1	0	2	2
chr5	37004607	37006458	+	NM_015384	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1	11148255	11151070	-	NM_001001998	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr5	133480560	133481914	+	NM_001134851	INTRON	4	0	1	0	0	0	3	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0
chr20	35153969	35199843	-	NM_001042486	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr7	11082441	11091242	+	NM_014660	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	74340368	74345627	+	NM_006591	INTRON	4	5	5	13	12	3	3	5	23	5	1	7	4	12	6	24	12	7	8	1	13	4	6	4
chr3	44674091	44681432	+	NM_001024855	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr16	54959125	54962405	-	NM_001308963	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr19	11095049	11095948	+	NM_001128844	INTRON	0	4	1	4	0	1	0	2	4	0	0	0	0	0	4	6	3	2	8	0	4	0	1	2
chr9	7011879	7013900	+	NM_001146695	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	54990494	54990752	-	NM_005082	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
chr8	61734704	61735061	+	NM_017780	INTRON	2	1	5	1	0	0	3	2	3	2	0	0	0	0	0	3	0	3	0	1	1	0	0	0
chr16	74943815	74946095	-	NM_001324172	INTRON	0	3	0	0	0	0	1	3	11	1	0	1	0	0	3	3	1	2	0	0	0	0	0	1
chr14	89067179	89073586	+	NM_001160103	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr8	25297180	25298092	-	NM_017634	INTRON	1	3	1	8	1	0	1	7	17	0	0	1	0	0	4	7	0	0	0	3	0	0	0	0
chr10	101691202	101714970	-	NM_015221	INTRON	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr17	16285302	16285530	+	NM_001281716	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr1	28541507	28555432	-	NM_014280	INTRON	20	33	16	31	5	0	6	29	74	11	10	7	4	8	3	74	5	12	8	6	11	4	1	3
chr1	36786388	36786474	+	NM_001162530	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr2	128703133	128707442	-	NM_001145928	INTRON	1	0	2	0	1	0	0	1	19	1	1	0	0	1	0	5	0	0	0	2	0	3	0	0
chr6	109471442	109472112	+	NM_001083535	INTRON	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr5	71616336	71617998	+	NM_001284403	INTRON	1	1	1	8	0	0	4	3	9	2	3	1	0	0	0	8	1	1	3	0	2	2	0	0
chr22	31302056	31302183	+	NM_001282741	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chrX	48325464	48326096	-	NM_033518	INTRON	0	3	2	10	1	0	2	6	6	3	0	3	0	0	0	1	2	1	1	0	0	0	0	0
chr11	93421031	93428662	+	NM_033395	INTRON	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	37505132	37506888	+	NM_005813	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr3	15283095	15283684	+	NM_014296	INTRON	1	1	0	3	0	0	0	1	4	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0
chr17	41369331	41369699	+	NM_001291586	INTRON	4	1	5	0	2	0	0	2	9	0	0	0	0	0	0	7	0	0	2	1	1	0	0	0
chr16	23544086	23546208	-	NM_001083614	INTRON	0	3	2	2	0	0	0	3	15	1	0	1	0	0	2	7	2	1	1	0	4	2	1	2
chr15	65956732	65956897	+	NM_001144823	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	6031442	6031603	-	NM_000535	INTRON	4	5	0	0	0	0	8	0	0	2	0	2	38	0	8	0	4	0	0	0	0	17	0	23
chr4	147096963	147097319	+	NM_007080	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	37439440	37441006	-	NM_005760	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	154333863	154335930	+	NM_001014990	INTRON	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	4	0
chr9	140431999	140529404	+	NM_001098537	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr17	59946745	59947097	-	NM_001330417	INTRON	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr9	36150946	36155781	+	NM_001287011	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr20	2778704	2778797	-	NM_001184699	INTRON	0	0	0	0	1	0	2	3	0	0	0	1	1	0	0	4	0	1	1	2	4	2	0	2
chr13	49987176	50007453	-	NM_001287338	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	59047269	59050067	-	NM_001316982	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	7811308	7816793	-	NM_012311	INTRON	3	4	0	2	0	0	0	4	17	3	0	2	0	1	0	8	0	0	0	1	4	1	0	4
chrX	53228340	53230731	-	NM_001146702	INTRON	0	3	0	6	0	2	12	7	19	0	5	1	1	1	3	17	0	1	2	7	1	1	1	0
chr5	139235363	139240229	-	NM_013982	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	93567834	93567885	+	NM_001271	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr9	304704	311953	+	NM_001190458	INTRON	5	8	2	16	3	1	3	6	10	10	0	0	1	1	3	9	2	0	6	0	8	1	6	7
chr4	83292737	83294598	-	NM_002138	INTRON	14	15	15	18	9	1	6	8	111	3	9	2	1	9	5	62	0	9	3	8	2	18	0	2
chr2	172248707	172271112	-	NM_001321154	INTRON	7	7	4	5	5	5	5	2	1	2	2	4	0	0	3	2	2	1	3	1	0	3	5	0
chr16	56508862	56509418	+	NM_001324357	INTRON	10	7	2	6	1	0	5	5	45	4	4	0	0	4	0	12	0	1	0	1	3	4	0	2
chr17	48266899	48267039	-	NM_000088	INTRON	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr5	56510020	56517216	+	NM_001127235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr1	207140457	207140927	-	NM_001122979	INTRON	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
chr1	24199868	24310242	-	NM_001841	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr18	48591839	48593388	+	NM_005359	INTRON	340	193	368	156	384	367	368	198	469	335	38	304	283	1480	708	294	677	423	355	1183	1022	498	286	452
chr16	68817935	68856041	+	NM_001317184	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr3	121377194	121379666	+	NM_001292041	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	69734710	69736362	-	NM_014911	INTRON	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	1	0	0
chr12	54675286	54680445	+	NM_002136	INTRON	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0
chr9	111692201	111693276	-	NM_001318360	INTRON	0	2	0	1	0	0	0	3	4	3	2	0	0	2	1	8	0	0	1	2	5	1	0	0
chr9	135502490	135505650	-	NM_001322340	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	76210076	76211490	+	NR_130749	INTRON	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr17	9615449	9631270	+	NM_001267576	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	222904858	222905969	+	NM_001288579	INTRON	1	3	3	10	0	0	4	6	13	3	1	1	1	2	2	12	1	0	4	7	6	0	1	5
chr16	29816495	29816583	-	NM_001256269	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	11569566	11615604	-	NM_001080491	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	118916543	118917128	-	NM_001130991	INTRON	13	3	20	39	3	3	8	12	63	4	6	1	1	5	0	37	0	3	1	9	0	4	0	2
chr19	50919980	50920301	-	NM_001256849	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
chr1	24022363	24022390	+	NM_000975	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chrX	131206370	131206996	+	NM_001042452	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	108224198	108225832	-	NM_007214	INTRON	1	1	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr9	75773719	75774244	+	NM_000700	INTRON	2	1	2	12	0	2	4	14	1	0	0	1	0	0	0	10	0	0	0	0	0	2	1	0
chr5	79951081	79952229	+	NM_002439	INTRON	245	159	143	54	33	100	125	49	69	194	25	101	104	102	76	79	135	54	181	218	86	208	174	124
chr11	47813542	47814337	-	NM_015231	INTRON	3	3	2	2	0	0	0	1	11	2	1	0	0	2	0	17	1	0	0	2	0	0	0	0
chr3	37292975	37327504	+	NM_001172713	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr8	42805598	42812236	+	NM_032410	INTRON	0	2	1	9	1	0	4	0	8	2	2	1	0	0	4	6	1	0	2	4	0	3	2	0
chr6	100006424	100009242	-	NM_001013399	INTRON	1	3	0	7	2	0	2	8	11	4	2	1	0	2	0	14	0	1	3	1	1	4	2	2
chr2	163212991	163213267	+	NM_001330265	INTRON	3	6	9	15	0	1	0	8	16	3	2	2	9	0	2	20	2	3	9	4	11	4	3	3
chr17	65344770	65346344	-	NM_001316341	INTRON	3	3	4	15	0	0	5	15	57	14	4	0	0	1	0	41	0	0	4	6	6	1	0	0
chr12	6765964	6772230	-	NM_001127582	INTRON	2	6	0	3	0	3	0	3	6	3	0	0	1	2	1	10	0	0	2	4	2	0	0	6
chr9	429854	432166	+	NM_001190458	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr10	103919781	103919978	+	NM_001284388	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	89720750	89720863	+	NM_000314	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
chr6	3123994	3127475	+	NM_001302777	INTRON	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
chr22	24734445	24743053	+	NM_001254733	INTRON	7	10	4	9	1	0	4	10	11	4	0	2	2	3	0	29	1	4	0	5	2	1	2	3
chrX	153582851	153582983	-	NM_001110556	INTRON	0	3	0	3	0	0	0	4	9	9	2	0	0	0	1	2	3	0	0	0	1	0	1	2
chr10	70960255	70962198	+	NM_001301683	INTRON	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
chr3	111847071	111849291	-	NM_001190260	INTRON	1	2	1	0	0	0	0	1	4	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0
chr12	111079432	111080053	+	NM_001082537	INTRON	2	0	2	2	0	0	1	3	0	1	1	0	0	2	0	3	0	0	0	2	0	1	0	0
chr4	62845490	62849100	+	NM_001322246	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	5542141	5542850	-	NR_133006	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1	19411550	19412638	-	NM_020765	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	10312626	10327880	+	NM_001172632	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	216211664	216213396	+	NM_004044	INTRON	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr15	45021750	45023560	+	NR_125376	INTRON	14	22	21	47	5	0	10	29	63	20	8	8	7	4	2	57	3	8	12	11	17	6	5	7
chr13	31724319	31725083	-	NM_001286503	INTRON	5	25	6	48	1	1	2	19	54	14	4	2	2	0	1	82	3	2	7	10	14	2	3	3
chr20	47642005	47662392	-	NM_006420	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	44776532	44778748	+	NM_016396	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20	39690130	39704810	+	NM_003286	INTRON	13	2	17	6	2	1	7	4	66	2	3	7	0	14	1	55	0	11	1	16	7	6	0	1
chr1	19238577	19243396	-	NM_001136265	INTRON	4	10	0	5	0	0	2	2	11	0	1	0	0	0	1	12	0	1	2	3	5	1	0	2
chr3	129115983	129116253	-	NR_002992	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
chr15	52186924	52188615	+	NM_014547	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr3	14180797	14183092	+	NM_024334	INTRON	0	2	0	2	1	0	1	4	5	1	4	0	0	6	0	3	0	2	0	0	3	2	0	0
chr4	2254249	2259708	-	NM_006454	INTRON	0	11	0	5	2	0	0	10	0	1	0	0	0	0	0	0	0	0	2	1	7	0	1	2
chr11	65484457	65486060	+	NM_032193	INTRON	0	1	2	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0
chr15	91449727	91450015	+	NM_001320977	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
chr18	20814668	20815858	-	NM_001100619	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	190907	192886	+	NM_001042415	INTRON	0	1	0	1	0	0	0	0	8	0	0	0	0	0	0	3	0	2	1	0	0	2	0	3
chr1	915349	915394	-	NM_001291367	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	7579331	7579505	-	NM_000546	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr11	5616580	5618096	-	NM_058166	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr10	88630688	88635807	+	NM_004329	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	141896447	141900302	-	NM_001039547	INTRON	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
chr17	41104685	41105740	-	NM_001136042	INTRON	0	0	1	0	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	1	0
chr22	29611028	29621121	+	NM_001267895	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr6	42936236	42936611	-	NM_000287	INTRON	0	1	0	1	0	0	0	3	1	1	0	0	2	2	0	2	0	0	0	0	2	0	0	0
chr6	20534805	20535581	+	NM_017774	INTRON	1	4	0	3	0	0	1	2	3	5	0	0	0	0	0	9	0	0	1	0	2	0	0	2
chr17	63554854	63563357	-	NM_004655	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
chr13	113439571	113459270	+	NM_015205	INTRON	0	0	1	0	0	0	3	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
chr19	55144211	55144439	+	NM_001081637	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	5147354	5147644	-	NM_001289029	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr14	50205115	50329296	-	NM_172193	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	52668755	52671821	-	NM_000259	INTRON	3	9	0	3	1	1	4	26	6	0	0	1	1	0	0	10	0	4	3	1	4	0	0	3
chr11	76075476	76076895	-	NR_130898	INTRON	1	3	0	1	0	0	1	0	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1
chr20	55966874	55967452	+	NM_001291780	INTRON	0	0	2	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr9	100767435	100769915	+	NM_006401	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
